GEOID,B25024_002M,B25024_003M,B25024_004M,B25024_005M,B25024_006M,B25024_007M,B25024_008M,B25024_009M
g361031457021,76,16,71,11,11,11,11,11
g361031457022,119,40,21,11,11,11,11,11
g361031457023,128,11,88,11,11,11,11,11
g361031457031,82,20,40,11,11,11,11,11
g361031457032,135,52,35,66,30,11,11,11
g361031457033,95,46,63,45,78,60,14,41
g361031457041,163,11,97,11,11,11,11,11
g361031457042,63,77,11,66,157,11,11,11
g361031457043,168,11,84,94,11,11,11,11
g361031457044,31,11,48,11,157,85,11,38
g361031458031,73,49,54,17,11,11,11,11
g361031458032,87,11,11,11,11,11,11,11
g361031458033,86,41,28,15,67,19,24,24
g361031458041,77,10,24,11,17,11,11,11
g361031458042,45,36,20,16,41,16,11,15
g361031458051,43,33,85,71,75,11,11,55
g361031458052,86,11,58,11,11,11,11,11
g361031458053,101,35,18,23,11,59,11,11
g361031458054,101,17,11,40,16,11,11,11
g361031458071,85,12,22,11,11,11,11,11
g361031458072,81,11,11,14,11,11,11,11
g361031458081,74,17,33,25,11,34,11,11
g361031458082,71,56,11,11,11,11,11,11
g361031459011,84,9,10,11,11,11,11,11
g361031459012,73,11,18,11,11,11,11,11
g361031459021,139,33,11,77,11,11,11,11
g361031459022,142,88,19,11,74,11,11,11
g361031459023,143,11,85,11,82,11,11,27
g361031459024,161,32,86,11,11,11,26,77
g361031459031,86,11,11,11,11,11,11,11
g361031459032,80,13,11,11,11,11,11,11
g361031459033,101,11,11,11,11,11,11,11
g361031459034,107,11,11,69,11,11,11,11
g361031460011,93,22,32,66,11,11,11,11
g361031460012,109,41,74,39,11,11,11,11
g361031460021,113,11,49,18,11,11,11,11
g361031460022,89,11,50,36,11,11,11,11
g361031460023,135,35,15,47,11,11,11,11
g361031460031,151,11,11,11,11,11,35,33
g361031460032,114,66,11,11,11,11,11,11
g361031460033,115,118,58,61,32,11,62,11
g361031460034,119,11,11,24,72,53,44,11
g361031461021,45,19,32,11,11,11,11,11
g361031461031,85,11,20,11,11,11,11,11
g361031461032,93,19,11,11,10,11,11,11
g361031461051,64,11,31,11,39,70,91,80
g361031461052,134,25,87,20,11,11,11,29
g361031461053,124,22,21,55,11,11,11,11
g361031461061,102,11,22,48,11,25,77,81
g361031461062,92,11,31,11,23,11,11,11
g361031462011,111,11,56,33,15,11,11,20
g361031462012,100,11,55,14,11,11,11,11
g361031462021,111,11,52,9,11,11,11,11
g361031462022,110,67,34,11,11,9,11,11
g361031462031,103,11,43,11,57,13,11,15
g361031462032,65,67,11,11,11,11,11,11
g361031462033,106,26,72,11,11,11,11,11
g361031462041,120,11,81,11,31,11,11,11
g361031462042,160,19,50,84,11,11,11,11
g361031462043,93,21,12,11,11,11,11,11
g361031462051,57,11,16,11,11,11,11,11
g361031462052,63,13,15,11,11,11,11,6
g361031462061,57,7,11,11,11,11,11,11
g361031462062,55,11,22,11,11,11,11,11
g361031463001,24,65,11,35,62,30,41,15
g361031463002,18,39,11,27,57,58,14,80
g361031464021,106,12,61,11,11,11,11,11
g361031464022,64,22,21,17,11,18,21,34
g361031464023,74,29,11,11,11,11,11,11
g361031464031,88,17,45,11,11,11,11,11
g361031464032,89,11,28,11,11,11,11,11
g361031464033,80,11,44,17,11,11,11,11
g361031464041,89,11,26,11,11,11,9,11
g361031464042,81,9,21,11,11,6,11,11
g361031465001,67,11,11,11,48,15,11,11
