GEOID,B25075_002M,B25075_003M,B25075_004M,B25075_005M,B25075_006M,B25075_007M,B25075_008M,B25075_009M,B25075_010M,B25075_011M,B25075_012M,B25075_013M,B25075_014M,B25075_015M,B25075_016M,B25075_017M,B25075_018M,B25075_019M,B25075_020M,B25075_021M,B25075_022M,B25075_023M,B25075_024M,B25075_025M
g361031121033,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,50,49,37,41,38,11
g361031121041,11,18,11,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,32,20,66,52,62
g361031122041,11,11,11,11,11,11,11,20,11,11,11,11,11,11,11,11,11,11,9,35,65,49,15,11
g361031122042,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,31,70,44,11,11
g361031122043,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,69,75,43,11,11
g361031122061,24,11,11,11,75,11,11,11,11,11,11,31,11,11,11,40,44,17,11,54,66,92,26,11
g361031122062,11,11,11,11,11,11,11,11,11,11,11,11,11,11,39,11,11,11,11,11,62,77,81,56
g361031122063,23,11,11,11,11,11,11,11,11,11,11,24,58,11,43,54,11,75,23,32,21,39,76,139
g361031122064,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,33,55,11,19
g361031122101,27,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,35,54,88,77
g361031122102,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,38,71,110,113,54
g361031122103,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,87,62,93,51,14
g361031122104,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,24,28,71,123,39,50
g361031122111,13,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,11,10,11,86,65,27
g361031122112,11,11,11,11,11,11,11,11,11,11,11,11,20,11,11,23,11,11,12,32,29,90,24,22
g361031122113,11,11,11,11,11,11,11,11,11,11,13,11,11,11,11,11,11,11,13,11,32,53,48,11
g361031122121,11,11,11,11,11,18,11,19,11,11,11,11,15,11,11,11,11,11,11,11,11,64,35,28
g361031122122,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,36,61,64,79
g361031122131,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,42,50,80,98,38
g361031122132,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,60,53,46,19,11
g361031122133,14,11,11,11,11,21,11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,69,52,58
g361031122141,11,11,11,11,11,11,11,11,11,11,11,11,11,11,31,11,11,11,11,11,19,98,11,51
g361031122142,11,11,11,11,11,11,11,11,11,48,11,11,11,11,11,11,11,11,11,11,40,69,97,82
g361031122143,50,11,33,11,11,11,11,21,11,11,11,11,11,21,11,32,46,20,11,11,46,82,93,115
g361031122144,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,58,59,37,21
g361031223001,11,11,11,11,11,11,11,11,11,11,11,11,19,16,11,11,21,21,18,53,45,45,30,11
g361031223002,21,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,11,25,44,88,77,28,15,18
g361031224031,8,11,11,11,11,11,11,5,5,11,11,11,7,8,16,10,7,7,19,53,55,16,7,11
g361031224032,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,20,32,27,32,6,20,11,15
g361031224041,11,11,11,11,16,11,11,11,21,11,11,11,11,11,11,17,8,10,50,82,39,16,11,11
g361031224042,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,50,66,54,17,11,11
g361031224051,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,38,71,62,26,10,11
g361031224052,11,11,11,11,11,11,11,13,11,11,11,11,11,11,11,11,11,11,7,30,31,43,23,11
g361031224061,11,11,11,11,11,11,11,11,11,11,11,11,11,30,11,58,29,39,33,48,11,17,11,11
g361031224062,11,11,11,11,11,11,11,11,11,11,11,11,11,31,29,34,13,40,42,52,16,11,11,17
g361031224063,11,11,11,11,11,11,11,11,11,11,11,11,11,15,28,44,11,57,58,62,25,40,11,11
g361031225011,11,11,11,11,11,11,11,11,11,11,11,17,11,27,11,29,12,29,39,49,11,11,11,11
g361031225012,11,11,11,11,11,11,11,11,11,11,14,11,11,27,19,15,25,61,32,33,11,25,11,11
g361031225013,11,11,11,11,11,11,11,28,11,11,11,15,11,11,27,49,20,13,36,38,11,11,33,11
g361031225021,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,27,76,69,87,54,45,11,11
g361031225022,11,11,11,11,11,11,11,11,11,11,11,22,11,11,11,11,11,27,29,50,18,11,11,11
g361031225023,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,40,69,31,11,11,11
g361031226011,21,11,11,11,24,13,11,11,11,11,11,11,11,11,11,11,11,53,50,64,40,11,12,11
g361031226012,11,11,11,11,11,11,11,11,11,11,11,15,11,11,11,11,11,13,42,90,62,18,11,11
g361031226013,11,11,11,11,11,17,11,11,11,11,11,11,11,11,11,11,11,20,53,58,62,11,11,11
g361031226021,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,36,85,59,28,16,11
g361031226022,14,11,11,11,11,11,11,11,11,11,11,11,15,11,13,15,11,44,53,89,56,17,14,11
g361031226031,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,11,11,39,57,39,11,11,15
g361031226032,12,11,11,11,11,14,11,19,11,11,11,11,11,11,11,11,35,44,35,130,47,11,11,11
g361031226033,11,11,11,11,11,11,11,13,11,11,11,11,11,11,11,11,11,14,14,39,11,13,11,11
g361031226034,11,11,11,11,11,11,15,11,11,11,11,11,22,11,11,18,11,44,44,87,46,11,11,11
g361031227041,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,8,16,11,53,6,11,11,11
g361031227042,12,11,11,11,11,11,11,11,11,11,13,11,11,11,11,11,11,8,19,48,49,36,11,11
g361031227051,19,11,11,11,11,8,11,11,11,11,11,11,11,11,11,11,11,8,17,80,46,13,15,11
g361031227052,11,11,9,11,11,11,11,8,11,11,11,11,11,11,11,11,11,9,15,61,46,18,11,11
g361031227061,11,11,11,11,11,11,11,11,24,11,11,11,11,11,11,11,11,11,41,99,40,16,11,11
g361031227062,11,11,11,11,11,17,11,11,11,11,11,11,11,11,11,11,11,17,35,100,47,16,11,20
g361031227063,11,11,11,11,11,11,11,11,11,11,11,11,11,11,37,11,11,11,29,28,24,15,11,23
g361031227071,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,44,42,80,44,17,11,11
g361031227072,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,47,70,50,39,11,11
g361031228011,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,82,83,64,56,11,11
g361031228012,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,62,84,96,37,11,11
g361031228013,11,11,11,11,11,11,28,11,11,11,11,11,11,20,11,11,21,11,41,96,14,11,11,11
g361031228014,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,24,118,31,69,11,28
g361031228021,23,11,11,13,15,19,11,11,11,11,11,11,11,11,11,11,11,48,46,85,25,11,11,11
g361031228022,11,11,11,11,15,11,11,11,11,11,15,11,11,11,14,11,15,55,48,86,24,11,11,11
g361031229011,13,11,11,11,11,11,11,11,14,11,11,11,11,11,31,11,20,17,59,123,93,36,11,11
g361031229012,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,24,66,71,14,11,11
g361031229013,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,48,62,49,14,11,11
g361031229014,11,11,13,11,11,13,18,11,11,11,11,11,11,11,11,11,11,21,49,57,63,60,11,11
g361031229021,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,29,23,79,42,52,11,11
g361031229022,11,11,11,11,11,11,15,14,11,11,11,11,11,14,23,38,28,38,41,59,35,11,11,11
g361031229023,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,24,15,70,55,11,11,11
g361031230011,16,11,11,11,11,24,11,11,11,11,11,11,11,11,23,11,11,32,53,85,40,23,11,11
g361031230012,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,33,11,15,69,74,30,13,11,11
g361031230013,14,11,11,11,11,11,11,11,11,11,11,11,11,11,16,11,11,44,38,63,26,9,11,11
g361031230014,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,46,11,33,35,89,21,12,11,11
g361031230021,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,33,45,76,39,11,11,11
g361031230022,18,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,33,54,79,14,11,11,11
g361031230023,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,22,39,74,13,37,11,11
g361031231011,11,11,11,11,11,11,8,11,11,11,11,11,14,13,11,11,11,13,16,67,71,33,11,11
g361031231012,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,35,46,59,12,11,11
g361031231013,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11,15,25,21,35,72,52,55,13,11
g361031231021,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,15,12,13,52,68,61,29,11,11
g361031231022,11,11,20,11,11,11,15,11,11,11,11,11,11,11,33,48,26,9,31,64,84,15,11,11
g361031231023,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,11,11,13,34,49,26,37,11,11
g361031232011,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,31,48,34,30,11,11
