GEOID,B03002_003E,B03002_004E,B03002_012E,B03002_006E
g361031461052,528,414,2104,50
g361031461053,551,285,1339,0
g361031461061,574,272,1566,121
g361031461062,223,343,922,24
g361031462011,373,160,1961,0
g361031462012,280,351,1525,10
g361031462021,23,1149,1524,0
g361031462022,150,767,1846,0
g361031462031,353,298,1457,59
g361031462032,144,479,466,31
g361031462033,359,343,1678,0
g361031462041,411,813,1121,7
g361031462042,414,386,2067,65
g361031462043,40,125,925,0
g361031462051,611,51,196,0
g361031462052,1215,0,63,0
g361031462061,205,264,551,14
g361031462062,1376,11,203,95
g361031463001,673,310,105,9
g361031463002,794,155,113,84
g361031464021,1802,6,272,8
g361031464022,1019,9,51,0
g361031464023,633,1,125,183
g361031464031,240,677,1111,76
g361031464032,146,598,640,0
g361031464033,151,286,1187,82
g361031464041,402,374,1200,5
g361031464042,716,328,960,1
g361031465001,1190,0,64,18
g361031465002,883,0,110,0
g361031465003,989,24,299,82
g361031465004,1203,41,160,10
g361031466041,780,177,100,317
g361031466042,1532,0,165,70
g361031466043,1054,0,82,88
g361031466051,651,0,234,6
g361031466061,1605,0,41,0
g361031466062,1872,0,87,6
g361031466063,1564,0,129,0
g361031466064,2003,0,424,0
g361031466071,916,20,134,13
g361031466072,1145,38,122,135
g361031466081,1388,17,202,72
g361031466082,954,0,13,13
g361031466111,1565,0,214,83
g361031466112,1305,11,134,0
g361031466121,887,0,150,33
g361031466122,2089,11,231,1
g361031466123,1655,0,185,54
g361031466131,1085,0,183,0
g361031466132,2253,21,428,47
g361031466141,1953,35,180,76
g361031466142,1093,0,43,8
g361031466143,1779,0,571,24
g361031466151,1099,51,107,129
g361031466152,1614,51,62,7
g361031466153,1057,58,371,211
g361031467031,958,371,651,33
g361031467032,945,82,599,13
g361031467041,1598,0,137,83
g361031467051,1542,2,225,0
g361031467052,1650,0,150,0
g361031467061,838,37,158,11
g361031467062,1388,0,112,10
g361031468001,1937,0,153,86
g361031468002,2146,0,23,0
g361031468003,985,0,0,0
g361031468004,540,0,0,0
g361031469011,1888,0,148,96
g361031469012,1255,0,288,0
g361031469013,774,0,46,0
g361031469014,777,0,60,0
g361031469021,1674,0,32,12
g361031469022,1340,5,30,0
g361031469023,699,0,11,111
g361031470011,947,0,17,0
g361031470012,735,0,0,23
g361031470013,2383,0,185,16
g361031470031,1436,36,424,64
g361031470032,1141,69,407,47
g361031470033,768,3,56,28
g361031470041,221,6,11,5
g361031471001,1007,12,34,97
g361031471002,816,6,70,13
g361031471003,892,0,134,6
g361031472001,722,555,1417,146
g361031472002,277,33,230,0
g361031472003,743,200,412,0
g361031472004,571,161,139,17
g361031472005,376,93,205,0
g361031473001,351,77,954,0
g361031473002,419,51,65,0
g361031473003,526,375,323,116
g361031473004,110,1135,358,0
g361031473005,179,295,807,0
g361031473006,1442,51,295,0
g361031474011,1823,26,65,29
g361031474012,983,35,167,18
g361031474013,1069,486,408,0
g361031474014,493,116,52,27
g361031474021,1161,0,52,0
g361031474022,1112,0,43,51
g361031474023,1035,0,71,10
g361031475011,768,0,104,0
g361031475012,2019,0,151,0
g361031475013,365,0,241,0
g361031475014,671,0,38,0
g361031475015,1701,1,51,0
g361031475016,1091,66,164,0
g361031475021,1035,6,41,17
g361031475022,1232,0,0,0
g361031475023,1496,0,133,13
g361031475024,1599,0,50,0
g361031475025,700,0,63,40
g361031475031,1521,1,44,70
g361031476011,967,25,210,16
g361031476012,1058,0,70,7
g361031476021,1382,60,11,50
g361031476022,1652,0,119,16
g361031476023,586,3,15,198
g361031476024,958,6,96,0
g361031477011,2023,23,80,49
g361031477012,1111,0,67,38
g361031477021,1425,0,73,40
g361031477022,721,0,38,36
g361031477023,1389,0,125,4
g361031477024,709,0,11,0
g361031478021,790,0,104,0
g361031478022,1282,1,106,0
g361031478023,1264,0,97,0
g361031478031,1747,0,145,0
g361031478032,1035,38,82,27
g361031478041,2334,0,22,27
g361031478042,980,0,87,6
g361031478043,1463,6,60,25
g361031478044,1018,7,3,0
g361031479011,1779,0,130,15
g361031479012,763,12,51,0
g361031479013,1137,58,99,39
g361031479021,639,0,0,34
g361031479022,1024,0,52,0
g361031479023,1232,7,161,32
g361031479024,961,0,9,0
g361031580011,773,0,26,114
g361031580012,799,0,36,83
g361031580013,707,0,19,26
g361031580014,825,0,71,40
g361031580015,381,28,69,30
g361031580021,915,0,105,52
g361031580022,595,3,148,57
g361031580023,1306,71,0,100
g361031580024,763,0,67,28
g361031580025,667,0,0,30
g361031580026,1221,0,0,34
g361031580061,1985,0,150,375
g361031580062,2206,84,271,361
g361031580063,804,4,17,146
g361031580064,268,40,46,24
g361031580071,976,192,287,1246
g361031580072,564,34,31,318
g361031580073,388,55,119,353
g361031580074,1465,519,479,1573
g361031580091,1207,0,11,40
g361031580092,1320,0,108,93
g361031580101,1550,50,66,245
g361031580102,792,0,0,134
g361031580103,768,0,0,26
g361031580111,1540,116,80,47
g361031580112,1846,0,9,234
g361031580113,716,0,24,12
g361031581021,2052,45,493,159
g361031581022,1411,38,523,26
g361031581031,2277,188,564,46
g361031581032,783,112,319,45
g361031581041,1551,117,170,251
g361031581042,1596,0,267,22
g361031581043,1396,63,148,25
g361031581071,1098,0,218,113
g361031581072,1920,9,429,199
g361031581081,1890,32,197,786
g361031581101,1796,0,343,60
g361031581102,1190,0,106,92
g361031581111,1460,44,268,0
g361031581112,1228,47,208,52
g361031581121,1462,98,320,99
g361031581122,1670,0,456,206
g361031581141,3017,18,268,21
g361031581151,2809,16,139,154
g361031581152,1154,334,180,172
g361031581153,1770,0,36,0
g361031581161,924,87,104,298
g361031581162,399,17,93,76
g361031582021,844,0,520,0
g361031582022,1960,118,494,113
g361031582023,1180,13,213,87
g361031582024,1028,0,81,11
g361031582025,1437,0,357,204
g361031582031,1359,29,22,151
g361031582051,814,0,18,12
g361031582052,1091,0,79,15
g361031582061,1030,10,70,12
g361031582062,1034,58,91,57
g361031582063,1109,0,212,47
g361031582071,766,0,20,36
g361031582072,1543,16,118,78
g361031582073,416,8,35,34
g361031582074,1437,23,91,181
g361031583041,1425,5,41,0
g361031583042,1574,3,742,26
g361031583043,1591,0,83,13
g361031583044,1462,0,0,0
g361031583061,2402,41,104,24
g361031583062,1220,0,9,157
g361031583063,1490,0,315,7
g361031583081,1127,0,129,87
g361031583082,1194,124,369,25
g361031583083,2353,9,645,11
g361031583084,1506,0,580,0
g361031583091,2208,670,490,89
g361031583092,1082,57,251,22
g361031583101,1194,156,135,83
g361031583102,2328,32,131,27
g361031583151,1843,279,151,6
g361031583152,1285,113,722,127
g361031583171,1795,0,215,96
g361031583172,1679,0,327,39
g361031583173,1340,0,249,0
g361031583181,1639,10,42,13
g361031583182,997,0,195,0
g361031583183,1447,0,34,0
g361031583191,1420,224,227,8
g361031583192,489,18,46,288
g361031583193,713,25,125,36
g361031583201,1231,0,77,56
g361031583202,1706,0,86,47
g361031583203,1111,0,209,0
g361031583204,1460,29,0,0
g361031583211,1903,315,578,858
g361031583212,1122,231,373,136
g361031583213,1011,0,276,0
g361031583214,2331,373,393,282
g361031583221,1881,175,35,211
g361031583231,1329,3,82,0
g361031583232,997,0,68,0
g361031583233,2012,25,86,16
g361031583234,2136,57,0,252
g361031584011,1205,0,127,25
g361031584021,2078,6,245,29
g361031584022,427,0,31,8
g361031584023,1361,0,158,25
g361031584031,897,61,155,6
g361031584032,638,116,92,65
g361031584051,1802,0,134,94
g361031584052,926,0,169,0
g361031584053,1361,0,77,74
g361031584071,1296,4,139,0
g361031584072,1594,0,284,0
g361031584073,918,0,22,0
g361031584074,1519,0,80,0
g361031584081,1939,0,282,0
g361031584082,1739,0,91,0
g361031584091,876,133,105,203
g361031584092,1674,15,14,0
g361031584093,715,0,99,0
g361031584101,1540,0,0,0
g361031584102,1058,20,0,0
g361031584103,614,29,0,0
g361031585021,1573,0,223,8
g361031585022,686,7,75,0
g361031585023,1112,18,87,0
g361031585051,2253,52,286,80
g361031585052,922,0,29,0
g361031585053,404,22,158,102
g361031585061,1553,4,220,13
g361031585062,712,5,8,4
g361031585071,575,0,200,89
g361031585072,862,26,155,60
g361031585073,1461,24,298,44
g361031585081,831,0,468,0
g361031585082,1245,87,201,99
g361031585083,1388,0,76,0
g361031585084,556,2,1,25
g361031585085,1101,25,150,0
g361031585091,1109,123,52,7
g361031585092,918,80,490,38
g361031585093,1287,49,623,145
g361031585101,2384,0,286,23
g361031585102,788,185,351,54
g361031585103,1337,1,159,61
g361031585104,1334,0,176,0
g361031585111,1338,38,193,13
g361031585112,2176,49,482,76
g361031585113,1601,46,647,81
g361031585121,1661,0,120,88
g361031585122,1218,37,305,18
g361031586041,1193,0,225,55
g361031586042,942,4,89,0
g361031586043,2003,31,256,121
g361031586051,2132,128,255,166
g361031586052,1848,76,395,87
g361031586061,1651,16,60,0
g361031586062,960,3,140,0
g361031586063,1270,0,456,248
g361031586071,1298,17,255,29
g361031586072,964,94,264,65
g361031586081,794,16,149,19
g361031586082,1019,0,76,110
g361031586083,1295,2,134,143
g361031586091,1344,28,364,99
g361031586092,1514,0,34,12
g361031586093,644,141,238,51
g361031587041,1580,0,494,18
g361031587042,901,0,61,0
g361031587043,1331,59,131,55
g361031587044,523,1044,1131,12
g361031587045,1240,19,0,0
g361031587051,236,713,349,0
g361031587052,559,492,277,57
g361031587053,52,662,310,16
g361031587071,1267,36,212,54
g361031587081,459,114,12,0
g361031587082,1329,235,123,229
g361031587083,574,447,177,0
g361031587091,1842,14,305,11
g361031587101,992,412,28,16
g361031587102,743,0,36,0
g361031587103,1180,0,259,2
g361031587104,5,0,0,35
g361031587111,1193,22,50,71
g361031587112,1063,47,68,72
g361031587113,983,516,519,533
g361031587121,1402,233,371,0
g361031587122,1332,82,311,0
g361031587123,682,8,143,38
g361031587124,1078,38,180,0
g361031587125,857,132,758,0
g361031588021,1925,0,158,23
g361031588022,1518,0,51,0
g361031588023,914,0,0,7
g361031588031,1249,187,374,0
g361031588032,924,3,517,0
g361031588033,2181,121,160,233
g361031588034,655,48,31,0
g361031588041,1197,227,228,34
g361031588042,786,12,64,0
g361031588043,512,0,494,58
g361031588044,847,0,42,0
g361031588045,717,0,349,0
g361031588046,977,0,119,24
g361031589001,689,68,509,0
g361031589002,510,250,1509,0
g361031589003,806,0,95,0
g361031589004,465,50,96,0
g361031589005,1798,91,74,14
g361031590001,1208,91,806,0
g361031590002,1059,114,469,0
g361031590003,752,88,193,0
g361031591021,1228,5,170,1
g361031591022,1146,0,379,0
g361031591023,873,157,64,0
g361031591024,901,154,320,137
g361031591025,597,85,112,29
g361031591031,394,205,300,0
g361031591032,90,409,157,111
g361031591033,446,524,1676,0
g361031591034,72,1127,643,57
g361031591051,1324,97,192,218
g361031591052,1233,43,161,31
g361031591053,1067,186,855,145
g361031591054,920,47,178,0
g361031591061,712,247,348,153
g361031591062,1769,339,556,190
g361031591063,1474,271,277,14
g361031591071,1155,0,163,13
g361031591072,959,0,67,0
g361031591073,1314,0,71,11
g361031591081,429,14,297,55
g361031591082,2191,67,1097,0
g361031591083,1264,15,26,0
g361031591084,632,134,180,0
g361031591085,788,0,239,130
g361031592011,1166,0,176,0
g361031592012,1264,23,627,0
g361031592031,1194,36,118,0
g361031592032,2162,140,0,0
g361031592033,1692,18,136,14
g361031592041,435,209,218,0
g361031592042,554,25,178,0
g361031592043,1489,17,52,0
g361031592044,798,12,15,0
g361031593001,538,0,30,11
g361031593002,1316,19,30,6
g361031594041,1056,170,69,146
g361031594042,557,63,31,20
g361031594043,874,123,815,54
g361031594044,1100,362,512,0
g361031594045,357,20,641,427
g361031594061,1047,21,28,52
g361031594062,1164,58,223,0
g361031594063,1019,0,573,13
g361031594071,1790,310,599,176
g361031594072,1078,34,230,133
g361031594073,1842,9,254,60
g361031594081,2130,211,442,149
g361031594082,845,80,198,73
g361031594101,1366,4,0,0
g361031594102,1254,466,16,0
g361031594103,4784,60,353,51
g361031594111,1586,235,248,0
g361031594112,1226,0,112,65
g361031594121,971,7,0,0
g361031594122,1864,0,13,12
g361031594123,2440,98,206,12
g361031594124,1561,45,66,0
