GEOID,B25004_006E
g361031906041,195
g361031906042,313
g361031906043,278
g361031907041,263
g361031907042,1045
g361031907043,508
g361031907044,432
g361031907045,558
g361031907051,4
g361031907052,329
g361031907053,406
g361031907054,365
g361031907055,111
g361031907061,422
g361031907062,290
g361031907063,163
g361031907064,164
g361031907065,117
g361031907071,743
g361031907072,428
g361031907073,217
g361031907074,461
g361031907075,234
g361031907081,356
g361031907082,601
g361031908001,288
g361031908002,304
g361031908003,514
g361031908004,573
g361032009011,227
g361032009012,940
g361032009021,837
g361032009022,368
g361032009023,241
g361032009024,173
g361032009025,640
g361032009026,429
g361032009027,448
g361032010011,581
g361032010012,228
g361032010013,431
g361032010014,551
g361032010015,269
g361032010031,73
g361032010032,353
g361032010033,532
g361032010034,984
g361032010035,353
g361032010041,163
g361032010042,437
g361032010043,408
g361032010044,322
g361032010045,521
g361032010046,787
g361032011001,0
g361032011002,0
g361032011003,0
g361032011004,0
g361039901000,0
