GEOID,B25038_001E,B25038_003E,B25038_004E,B25038_005E,B25038_006E,B25038_007E,B25038_008E,B25038_010E,B25038_011E,B25038_012E,B25038_013E,B25038_014E,B25038_015E
g361031233015,440,0,91,130,0,17,58,40,104,0,0,0,0
g361031233016,391,116,92,60,0,0,0,66,57,0,0,0,0
g361031233021,423,39,83,33,37,73,50,8,86,14,0,0,0
g361031234011,392,0,153,48,41,30,53,33,28,0,0,0,6
g361031234012,444,6,146,54,6,39,45,70,78,0,0,0,0
g361031234013,381,0,101,77,53,9,32,7,94,0,8,0,0
g361031234021,597,0,125,106,15,31,26,158,112,11,0,0,13
g361031234022,565,20,99,172,12,96,37,106,23,0,0,0,0
g361031234023,348,0,141,70,0,40,15,72,0,10,0,0,0
g361031234024,289,31,0,40,0,20,53,70,34,41,0,0,0
g361031234025,662,39,124,56,62,68,67,69,104,73,0,0,0
g361031235001,446,0,90,68,11,75,44,0,126,32,0,0,0
g361031235002,287,12,50,12,20,0,40,106,47,0,0,0,0
g361031235003,620,47,96,105,39,31,21,142,129,10,0,0,0
g361031235004,755,18,124,87,42,47,0,104,208,83,34,8,0
g361031236001,612,56,174,199,44,57,27,55,0,0,0,0,0
g361031236002,288,0,70,61,32,47,8,0,56,14,0,0,0
g361031236003,481,33,94,89,114,53,35,28,7,0,0,0,28
g361031237011,581,45,124,85,48,41,30,60,128,20,0,0,0
g361031237012,324,9,30,17,41,0,6,111,96,14,0,0,0
g361031237013,550,17,82,23,17,6,14,75,243,40,33,0,0
g361031237014,355,0,60,51,9,30,26,27,142,0,10,0,0
g361031237021,720,24,174,150,11,14,67,129,151,0,0,0,0
g361031237022,851,14,355,139,85,34,39,43,101,41,0,0,0
g361031237023,444,47,79,85,45,10,105,45,14,14,0,0,0
g361031237024,731,0,64,88,119,52,135,148,88,37,0,0,0
g361031238011,439,9,171,82,45,36,52,34,0,10,0,0,0
g361031238012,299,9,57,42,60,10,54,34,33,0,0,0,0
g361031238013,782,20,206,121,120,120,26,45,124,0,0,0,0
g361031238021,645,6,155,117,102,73,116,45,0,31,0,0,0
g361031238022,774,59,280,168,63,103,36,19,23,12,11,0,0
g361031239001,479,9,168,42,34,30,32,60,84,0,20,0,0
g361031239002,283,0,93,92,28,11,45,0,14,0,0,0,0
g361031239003,257,0,12,104,54,59,19,0,0,0,9,0,0
g361031239004,467,14,106,57,59,20,78,65,45,23,0,0,0
g361031239005,152,9,22,20,16,32,53,0,0,0,0,0,0
g361031240011,719,61,126,134,104,16,94,107,67,0,0,10,0
g361031240012,631,19,138,123,54,22,117,40,83,9,19,0,7
g361031240013,167,0,19,11,10,41,34,29,17,6,0,0,0
g361031240021,455,11,117,104,85,43,46,21,18,10,0,0,0
g361031240022,661,12,123,147,88,104,88,34,55,10,0,0,0
g361031241011,681,42,232,86,120,55,29,35,44,28,10,0,0
g361031241012,418,29,102,55,86,20,48,32,36,0,0,10,0
g361031241013,424,12,141,52,32,25,93,21,26,22,0,0,0
g361031241021,523,0,184,101,48,30,65,47,35,13,0,0,0
g361031241022,580,7,161,145,97,43,71,30,20,0,0,0,6
g361031242001,397,12,76,98,49,25,0,122,0,15,0,0,0
g361031242002,378,48,201,47,0,28,17,0,37,0,0,0,0
g361031242003,290,22,33,0,29,0,13,18,104,21,0,0,50
g361031242004,585,63,83,175,44,10,83,106,18,0,0,0,3
g361031242005,465,62,203,44,27,4,16,57,52,0,0,0,0
g361031243001,350,0,75,63,31,54,39,88,0,0,0,0,0
g361031243002,635,68,74,143,41,28,27,74,107,73,0,0,0
g361031243003,651,17,30,113,104,39,0,98,188,62,0,0,0
g361031243004,546,8,99,150,94,69,109,0,17,0,0,0,0
g361031243005,245,10,88,29,0,0,11,51,42,14,0,0,0
g361031244011,405,0,0,0,0,0,0,197,101,98,9,0,0
g361031244012,346,53,63,17,63,43,7,100,0,0,0,0,0
g361031244013,715,26,206,66,47,34,57,70,190,19,0,0,0
g361031244021,632,30,166,141,51,89,102,0,46,0,7,0,0
g361031244022,376,40,68,53,65,60,49,0,0,0,41,0,0
g361031244023,278,0,123,41,98,10,5,1,0,0,0,0,0
g361031245001,374,15,48,126,49,25,44,11,47,9,0,0,0
g361031245002,420,7,50,95,51,36,24,9,121,9,9,9,0
g361031245003,484,11,109,51,43,0,39,101,80,50,0,0,0
g361031245004,560,73,168,93,64,58,58,9,8,0,0,0,29
g361031246011,390,54,95,90,26,59,35,25,0,6,0,0,0
g361031246012,300,19,77,51,63,51,24,9,6,0,0,0,0
g361031246013,263,11,46,74,28,63,29,7,5,0,0,0,0
g361031246021,221,41,42,16,33,14,18,20,26,0,11,0,0
g361031246022,538,42,26,64,61,66,47,46,164,22,0,0,0
g361031246023,553,40,127,172,74,42,26,45,27,0,0,0,0
g361031246024,407,18,31,49,79,22,0,84,67,23,22,0,12
g361031347021,579,0,104,168,63,56,120,53,15,0,0,0,0
g361031347022,865,39,261,140,118,43,143,59,10,36,0,16,0
g361031347023,501,0,25,0,0,0,0,113,278,33,0,52,0
g361031347024,331,19,78,34,43,26,99,0,18,14,0,0,0
g361031347031,316,12,117,73,78,14,22,0,0,0,0,0,0
g361031347032,370,24,134,112,32,34,34,0,0,0,0,0,0
g361031347033,410,36,110,107,44,23,23,42,25,0,0,0,0
g361031347034,234,22,40,45,72,45,10,0,0,0,0,0,0
g361031347041,498,36,109,184,67,69,12,21,0,0,0,0,0
g361031347042,366,7,119,90,28,12,11,62,31,6,0,0,0
g361031349021,403,24,123,102,46,24,40,34,0,0,10,0,0
g361031349022,334,27,84,107,48,19,49,0,0,0,0,0,0
g361031349023,745,22,237,201,73,71,110,2,29,0,0,0,0
g361031349031,423,28,104,83,48,26,48,34,52,0,0,0,0
g361031349041,480,44,61,103,65,78,109,20,0,0,0,0,0
g361031349042,516,84,69,179,50,41,93,0,0,0,0,0,0
g361031349043,591,43,207,141,68,66,29,19,10,8,0,0,0
g361031349044,586,17,125,100,26,66,19,168,53,0,12,0,0
g361031349061,535,30,182,222,0,24,60,0,17,0,0,0,0
g361031349062,386,15,122,62,65,0,72,11,33,0,0,6,0
g361031349063,559,28,95,123,76,89,129,0,19,0,0,0,0
g361031349064,613,0,44,90,19,36,0,235,126,60,3,0,0
g361031349071,604,33,176,76,114,87,7,64,47,0,0,0,0
g361031349072,875,32,311,219,66,93,121,3,30,0,0,0,0
g361031350021,438,38,113,102,122,33,12,10,0,8,0,0,0
g361031350022,752,40,122,261,58,58,88,46,51,28,0,0,0
g361031350023,616,21,219,111,126,87,40,0,12,0,0,0,0
g361031350031,459,7,191,69,105,18,33,6,10,12,8,0,0
g361031350032,473,8,204,155,45,20,18,0,16,7,0,0,0
g361031350033,547,11,157,123,78,70,46,7,55,0,0,0,0
g361031350041,560,30,163,184,86,46,15,7,26,0,3,0,0
g361031350042,239,16,70,78,33,4,6,12,17,3,0,0,0
g361031350043,236,16,62,53,27,29,25,0,20,4,0,0,0
g361031350051,464,111,90,134,45,42,16,26,0,0,0,0,0
g361031350052,571,93,283,57,16,18,10,32,31,24,7,0,0
g361031350053,215,16,77,89,10,0,0,16,7,0,0,0,0
g361031351011,387,38,35,111,56,24,123,0,0,0,0,0,0
g361031351012,869,9,224,218,132,102,142,0,33,9,0,0,0
g361031351021,408,0,91,119,56,49,79,0,0,14,0,0,0
g361031351022,706,57,199,62,69,113,102,40,48,16,0,0,0
g361031351023,370,42,94,129,71,16,18,0,0,0,0,0,0
g361031351031,498,52,162,98,51,56,61,0,11,7,0,0,0
g361031351032,434,40,112,134,107,6,7,0,28,0,0,0,0
g361031351033,636,51,154,146,94,73,86,32,0,0,0,0,0
g361031351041,508,25,153,105,55,49,115,0,6,0,0,0,0
g361031351042,784,59,231,255,51,46,49,12,81,0,0,0,0
g361031351043,345,26,112,88,19,73,27,0,0,0,0,0,0
g361031352011,690,32,209,143,93,88,117,4,0,0,0,0,4
g361031352041,484,15,137,146,44,49,61,0,12,0,0,0,20
g361031352042,654,14,84,208,82,94,93,10,54,15,0,0,0
g361031352043,335,0,91,59,85,58,42,0,0,0,0,0,0
g361031352051,893,0,203,194,40,30,86,139,182,10,0,0,9
g361031352052,496,24,153,127,63,69,60,0,0,0,0,0,0
g361031352053,391,20,141,54,41,24,100,11,0,0,0,0,0
g361031352081,511,29,104,164,71,43,71,29,0,0,0,0,0
g361031352082,488,38,100,73,95,32,117,11,22,0,0,0,0
g361031352091,689,6,140,180,125,21,58,58,94,7,0,0,0
g361031352092,424,9,56,158,7,51,130,0,13,0,0,0,0
g361031353011,615,45,139,155,120,41,99,0,0,16,0,0,0
g361031353012,432,13,77,52,113,48,129,0,0,0,0,0,0
g361031353013,224,0,153,35,23,6,0,7,0,0,0,0,0
g361031353031,956,126,304,212,40,102,123,0,30,0,19,0,0
g361031353032,483,9,136,80,100,84,33,0,41,0,0,0,0
g361031353041,857,43,291,212,136,48,119,8,0,0,0,0,0
g361031353042,321,22,102,95,30,0,41,13,9,0,9,0,0
g361031354011,493,8,209,0,0,0,0,146,113,17,0,0,0
g361031354012,756,47,179,194,97,81,113,16,29,0,0,0,0
g361031354013,917,167,214,121,152,85,101,38,15,24,0,0,0
g361031354021,843,68,293,246,90,52,34,0,46,14,0,0,0
g361031354022,717,43,157,94,92,115,44,101,58,0,13,0,0
g361031354023,284,0,79,105,53,31,0,16,0,0,0,0,0
g361031354024,464,13,86,166,67,21,24,73,0,0,0,0,14
g361031354031,341,28,113,116,34,38,0,0,12,0,0,0,0
g361031354032,718,61,192,186,54,91,60,36,26,12,0,0,0
g361031354033,320,20,86,18,116,26,11,25,8,0,0,10,0
g361031456021,429,6,161,92,27,8,46,60,19,10,0,0,0
g361031456022,419,27,130,92,39,17,31,63,20,0,0,0,0
g361031456023,653,28,200,230,31,63,45,19,26,11,0,0,0
g361031456031,591,21,216,35,30,40,33,0,176,0,31,9,0
g361031456032,350,13,59,13,6,26,20,93,115,0,0,5,0
g361031456033,658,50,204,85,35,72,10,73,102,18,6,3,0
g361031456041,786,23,234,58,120,46,48,111,132,0,0,14,0
g361031456042,374,31,133,32,65,0,17,19,56,21,0,0,0
g361031456051,367,19,77,57,33,0,46,81,54,0,0,0,0
g361031456052,471,44,132,73,36,10,21,63,69,23,0,0,0
g361031457011,235,18,63,44,43,9,58,0,0,0,0,0,0
g361031457012,466,28,67,147,32,60,123,0,0,0,0,9,0
g361031457013,672,0,24,0,10,0,0,315,295,28,0,0,0
g361031457014,510,10,214,71,64,32,91,0,28,0,0,0,0
g361031457021,259,32,127,27,22,17,0,34,0,0,0,0,0
g361031457022,445,9,90,115,94,39,20,52,11,15,0,0,0
g361031457023,707,42,206,57,72,48,63,0,206,13,0,0,0
g361031457031,230,12,60,43,22,0,14,45,34,0,0,0,0
g361031457032,661,0,209,103,33,103,75,35,80,23,0,0,0
g361031457033,571,20,131,54,0,0,0,150,173,34,9,0,0
g361031457041,487,0,94,162,54,34,11,3,112,3,0,0,14
g361031457042,467,0,112,125,40,36,0,64,90,0,0,0,0
g361031457043,723,0,196,86,102,47,18,108,100,12,0,54,0
g361031457044,521,0,0,9,0,0,0,286,196,19,11,0,0
g361031458031,478,53,135,183,50,50,7,0,0,0,0,0,0
g361031458032,552,39,46,132,97,192,21,25,0,0,0,0,0
g361031458033,642,51,167,156,31,42,46,64,77,8,0,0,0
g361031458041,540,14,123,163,60,41,80,24,26,9,0,0,0
g361031458042,472,80,187,115,30,6,8,10,36,0,0,0,0
g361031458051,496,10,226,23,41,11,0,101,63,11,10,0,0
g361031458052,488,15,124,111,88,43,69,38,0,0,0,0,0
g361031458053,540,48,84,161,31,74,18,38,42,33,11,0,0
g361031458054,567,72,163,160,67,31,0,45,15,14,0,0,0
g361031458071,696,53,205,155,78,94,83,0,28,0,0,0,0
