GEOID,B25038_001E,B25038_003E,B25038_004E,B25038_005E,B25038_006E,B25038_007E,B25038_008E,B25038_010E,B25038_011E,B25038_012E,B25038_013E,B25038_014E,B25038_015E
g361031596022,604,13,244,91,53,27,38,33,53,40,0,0,12
g361031697011,424,37,147,91,24,100,0,0,25,0,0,0,0
g361031697012,386,13,55,145,23,69,26,0,55,0,0,0,0
g361031697013,789,13,290,231,133,45,11,57,9,0,0,0,0
g361031697014,476,59,194,139,39,18,14,13,0,0,0,0,0
g361031697015,632,28,176,153,108,131,22,14,0,0,0,0,0
g361031697031,644,22,292,204,47,19,11,15,12,22,0,0,0
g361031697041,399,0,73,126,41,12,50,43,54,0,0,0,0
g361031697042,387,45,77,155,76,0,0,34,0,0,0,0,0
g361031697043,678,0,140,34,47,18,23,184,150,82,0,0,0
g361031697044,673,108,420,37,39,17,0,0,15,17,0,0,20
g361031697045,301,77,53,126,0,0,0,0,23,22,0,0,0
g361031697046,662,67,361,172,12,19,0,0,31,0,0,0,0
g361031698001,646,44,121,48,91,56,36,113,86,11,40,0,0
g361031698002,381,51,113,14,70,0,23,40,59,11,0,0,0
g361031698003,542,18,168,36,76,35,109,22,64,0,14,0,0
g361031698004,373,0,17,19,11,9,0,92,190,25,10,0,0
g361031699011,457,0,203,65,23,22,29,0,72,18,0,25,0
g361031699012,1850,95,582,257,0,0,122,265,452,77,0,0,0
g361031699021,670,88,171,276,12,16,0,56,51,0,0,0,0
g361031699022,296,49,71,50,68,0,12,0,46,0,0,0,0
g361031699023,268,0,117,86,0,0,42,0,23,0,0,0,0
g361031699024,119,0,18,55,0,0,31,0,15,0,0,0,0
g361031699025,632,77,186,84,56,16,0,47,166,0,0,0,0
g361031700011,595,138,77,168,51,66,80,0,15,0,0,0,0
g361031700012,666,50,140,87,88,63,65,0,96,77,0,0,0
g361031700013,257,0,87,48,36,39,19,28,0,0,0,0,0
g361031700014,342,0,52,114,0,24,18,19,115,0,0,0,0
g361031700015,481,18,109,149,117,56,0,0,32,0,0,0,0
g361031700021,262,0,80,26,46,70,30,0,10,0,0,0,0
g361031700022,444,53,104,129,33,47,48,30,0,0,0,0,0
g361031700023,273,0,78,86,46,40,23,0,0,0,0,0,0
g361031700024,391,11,133,19,61,21,18,34,19,0,17,0,58
g361031700025,306,0,39,121,66,14,13,30,20,3,0,0,0
g361031701011,388,24,62,55,42,21,24,36,78,26,20,0,0
g361031701012,518,6,69,42,54,22,17,114,174,20,0,0,0
g361031702011,615,16,218,250,31,54,0,0,31,15,0,0,0
g361031702012,535,67,216,150,0,19,53,0,30,0,0,0,0
g361031702013,304,0,115,122,15,19,18,0,0,15,0,0,0
g361031702014,234,30,71,51,0,48,19,15,0,0,0,0,0
g361031702015,287,46,37,0,31,30,50,0,47,23,23,0,0
g361031702016,388,0,76,126,60,41,15,41,0,29,0,0,0
g361031702017,255,0,57,82,88,0,14,0,0,0,14,0,0
g361031702021,251,27,67,0,26,8,16,35,63,9,0,0,0
g361031702022,132,6,5,71,7,17,5,19,2,0,0,0,0
g361031702023,450,16,168,66,59,31,64,30,8,8,0,0,0
g361031702024,359,7,102,74,45,65,37,9,13,0,7,0,0
g361031702025,678,78,297,123,50,0,39,60,11,20,0,0,0
g361031803001,539,44,181,149,71,38,15,9,31,0,0,1,0
g361031803002,524,10,172,43,114,70,34,16,53,6,0,0,6
g361031904011,357,79,112,44,46,4,61,0,11,0,0,0,0
g361031904012,205,34,0,0,14,4,20,36,97,0,0,0,0
g361031904013,452,76,246,74,0,30,1,0,25,0,0,0,0
g361031904014,0,0,0,0,0,0,0,0,0,0,0,0,0
g361031904015,360,27,45,64,0,0,23,96,88,0,0,17,0
g361031904016,333,0,63,85,59,50,16,0,60,0,0,0,0
g361031904017,712,26,185,182,106,45,0,26,142,0,0,0,0
g361031904021,449,53,172,49,41,8,14,69,22,5,16,0,0
g361031904022,407,33,190,54,34,30,10,36,10,5,0,0,5
g361031904031,360,0,64,90,70,27,13,44,52,0,0,0,0
g361031904032,325,24,107,51,26,27,9,9,62,10,0,0,0
g361031904033,660,0,87,81,48,39,17,159,162,58,0,9,0
g361031905021,236,5,74,72,38,8,0,29,10,0,0,0,0
g361031905022,406,16,84,80,40,35,24,58,51,15,3,0,0
g361031905023,443,9,134,88,49,34,34,34,46,15,0,0,0
g361031905031,263,22,51,35,44,3,13,13,67,0,0,15,0
g361031905032,345,0,85,95,39,6,6,65,49,0,0,0,0
g361031905033,348,3,122,71,16,61,51,0,24,0,0,0,0
g361031905034,190,10,63,29,29,23,6,10,20,0,0,0,0
g361031905041,236,11,81,115,0,9,2,0,12,6,0,0,0
g361031905042,251,10,82,47,24,0,25,0,57,6,0,0,0
g361031905043,227,29,46,80,36,13,0,0,23,0,0,0,0
g361031906011,186,0,65,63,13,9,13,19,4,0,0,0,0
g361031906012,379,40,163,47,19,24,18,59,9,0,0,0,0
g361031906013,451,41,128,104,61,61,11,15,30,0,0,0,0
g361031906014,330,0,88,53,29,103,27,0,30,0,0,0,0
g361031906015,181,9,15,81,8,27,0,0,41,0,0,0,0
g361031906016,218,3,115,34,18,0,6,21,21,0,0,0,0
g361031906031,404,10,71,138,47,50,8,0,72,0,0,0,8
g361031906032,727,59,259,161,21,28,25,34,140,0,0,0,0
g361031906033,493,41,142,74,75,36,30,33,25,37,0,0,0
g361031906041,744,71,348,113,51,40,31,30,41,7,12,0,0
g361031906042,622,55,79,207,55,51,7,68,100,0,0,0,0
g361031906043,316,0,19,89,42,9,26,40,91,0,0,0,0
g361031907041,405,5,89,161,19,13,0,65,16,11,0,0,26
g361031907042,176,0,61,44,27,3,13,0,0,4,10,3,11
g361031907043,111,12,26,27,18,2,22,3,0,0,0,0,1
g361031907044,218,0,59,78,14,8,21,10,28,0,0,0,0
g361031907045,341,8,139,107,21,10,21,0,25,0,10,0,0
g361031907051,68,0,20,9,31,0,0,0,8,0,0,0,0
g361031907052,555,54,86,113,47,40,54,109,52,0,0,0,0
g361031907053,155,10,23,32,34,23,13,0,10,10,0,0,0
g361031907054,385,26,116,29,34,44,45,42,40,0,9,0,0
g361031907055,346,0,33,47,42,46,0,67,51,60,0,0,0
g361031907061,485,22,164,109,31,39,46,12,50,12,0,0,0
g361031907062,551,16,93,145,90,0,44,28,114,10,0,0,11
g361031907063,252,31,65,53,0,50,42,11,0,0,0,0,0
g361031907064,276,10,27,76,34,48,11,0,31,39,0,0,0
g361031907065,264,17,65,5,22,45,6,9,87,8,0,0,0
g361031907071,542,18,157,146,142,33,9,23,14,0,0,0,0
g361031907072,430,30,130,46,20,62,8,8,114,12,0,0,0
g361031907073,253,11,102,54,59,0,0,0,0,27,0,0,0
g361031907074,376,10,166,73,36,12,0,70,9,0,0,0,0
g361031907075,516,65,98,175,42,50,69,0,17,0,0,0,0
g361031907081,381,22,112,105,51,14,27,9,39,0,0,2,0
g361031907082,484,33,94,50,78,54,30,10,130,5,0,0,0
g361031908001,338,0,75,52,41,24,9,46,82,0,9,0,0
g361031908002,344,69,51,52,102,0,23,6,19,22,0,0,0
g361031908003,321,13,71,72,44,48,22,42,9,0,0,0,0
g361031908004,257,0,51,26,46,17,0,87,0,30,0,0,0
g361032009011,336,20,43,50,27,38,26,34,77,13,5,0,3
g361032009012,254,10,49,35,22,62,42,10,16,4,4,0,0
g361032009021,630,35,146,330,17,30,0,0,72,0,0,0,0
g361032009022,324,13,87,191,0,0,0,10,23,0,0,0,0
g361032009023,445,0,90,92,13,46,18,124,11,51,0,0,0
g361032009024,269,16,13,16,90,55,0,0,17,15,47,0,0
g361032009025,301,8,81,50,47,21,16,32,27,16,0,0,3
g361032009026,715,34,245,183,82,15,14,35,107,0,0,0,0
g361032009027,357,32,115,59,35,10,28,26,41,0,11,0,0
g361032010011,468,18,130,162,50,38,20,0,0,50,0,0,0
g361032010012,348,0,90,106,31,19,17,57,28,0,0,0,0
g361032010013,428,13,185,91,83,0,38,0,18,0,0,0,0
g361032010014,353,0,100,60,30,92,0,71,0,0,0,0,0
g361032010015,717,37,238,147,90,12,0,0,193,0,0,0,0
g361032010031,521,0,96,68,45,30,46,71,135,10,6,0,14
g361032010032,192,0,91,29,37,10,7,18,0,0,0,0,0
g361032010033,95,36,9,0,25,0,4,0,0,21,0,0,0
g361032010034,310,13,57,31,21,28,85,27,45,3,0,0,0
g361032010035,402,22,146,102,0,36,6,10,53,27,0,0,0
g361032010041,105,11,0,74,0,0,10,0,10,0,0,0,0
g361032010042,311,46,22,19,39,47,10,69,59,0,0,0,0
g361032010043,252,23,23,48,21,50,51,9,27,0,0,0,0
g361032010044,234,0,61,61,9,9,10,45,26,13,0,0,0
g361032010045,517,39,114,103,97,42,70,0,52,0,0,0,0
g361032010046,323,12,69,53,76,48,9,9,11,36,0,0,0
g361032011001,572,37,201,181,34,33,12,22,27,25,0,0,0
g361032011002,399,0,122,105,33,6,42,59,6,21,0,0,5
g361032011003,0,0,0,0,0,0,0,0,0,0,0,0,0
g361032011004,434,26,121,121,19,32,59,32,17,0,0,7,0
g361039901000,0,0,0,0,0,0,0,0,0,0,0,0,0
