GEOID,B25038_001M,B25038_003M,B25038_004M,B25038_005M,B25038_006M,B25038_007M,B25038_008M,B25038_010M,B25038_011M,B25038_012M,B25038_013M,B25038_014M,B25038_015M
g361031596011,116,22,97,82,41,29,22,11,69,11,11,11,11
g361031596012,83,29,71,55,52,30,11,11,11,11,11,11,11
g361031596013,104,11,75,50,11,45,43,35,64,11,11,11,11
g361031596014,126,24,99,79,61,22,69,84,11,11,11,11,11
g361031596015,128,11,56,79,91,70,46,11,34,29,11,11,11
g361031596021,95,55,110,91,51,69,32,11,11,11,11,11,11
g361031596022,119,20,71,49,42,29,40,39,51,64,11,11,18
g361031697011,106,57,70,77,26,65,11,11,39,11,11,11,11
g361031697012,129,22,70,95,27,88,30,11,65,11,11,11,11
g361031697013,145,21,124,94,102,43,19,68,16,11,11,11,11
g361031697014,110,60,80,94,43,31,21,21,11,11,11,11,11
g361031697015,134,38,97,93,79,82,25,22,11,11,11,11,11
g361031697031,84,21,91,64,27,16,15,16,16,30,11,11,11
g361031697041,117,11,49,91,40,20,46,35,36,11,11,11,11
g361031697042,117,43,56,73,90,11,11,50,11,11,11,11,11
g361031697043,171,11,80,39,45,29,28,124,76,108,11,11,11
g361031697044,146,70,130,42,46,27,11,11,22,28,11,11,33
g361031697045,129,97,63,83,11,11,11,11,32,32,11,11,11
g361031697046,114,78,96,81,18,30,11,11,38,11,11,11,11
g361031698001,167,50,61,47,65,60,35,132,92,17,48,11,11
g361031698002,88,46,67,18,46,11,25,62,59,17,11,11,11
g361031698003,120,20,89,35,63,38,49,34,78,11,22,11,11
g361031698004,127,11,21,20,17,13,11,71,113,37,18,11,11
g361031699011,190,11,140,60,30,27,27,11,104,30,11,41,11
g361031699012,211,67,174,93,11,11,68,159,158,101,11,11,11
g361031699021,202,94,92,165,20,26,11,60,83,11,11,11,11
g361031699022,169,79,78,52,107,11,19,11,75,11,11,11,11
g361031699023,147,11,115,101,11,11,34,11,36,11,11,11,11
g361031699024,64,11,28,41,11,11,35,11,27,11,11,11,11
g361031699025,184,75,110,88,66,28,11,77,132,11,11,11,11
g361031700011,151,120,57,96,50,55,92,11,24,11,11,11,11
g361031700012,173,59,72,62,67,56,51,11,117,100,11,11,11
g361031700013,102,11,63,49,35,39,31,44,11,11,11,11,11
g361031700014,121,11,53,96,11,37,29,30,121,11,11,11,11
g361031700015,131,30,63,83,98,48,11,11,52,11,11,11,11
g361031700021,81,11,57,29,34,51,29,11,18,11,11,11,11
g361031700022,95,49,50,50,27,39,50,47,11,11,11,11,11
g361031700023,84,11,51,43,31,39,36,11,11,11,11,11,11
g361031700024,127,17,70,20,44,23,15,43,30,11,27,11,86
g361031700025,77,11,27,53,56,15,11,21,19,5,11,11,11
g361031701011,67,19,38,27,23,19,19,28,49,30,32,11,11
g361031701012,86,9,33,24,28,19,14,55,91,20,11,11,11
g361031702011,149,26,101,125,44,51,11,11,33,22,11,11,11
g361031702012,110,61,100,84,11,30,47,11,45,11,11,11,11
g361031702013,95,11,75,97,25,30,30,11,11,23,11,11,11
g361031702014,107,34,50,43,11,77,29,25,11,11,11,11,11
g361031702015,92,43,44,11,35,36,47,11,39,37,37,11,11
g361031702016,119,11,62,106,56,49,24,49,11,45,11,11,11
g361031702017,105,11,43,75,64,11,22,11,11,11,23,11,11
g361031702021,84,38,35,11,23,13,18,37,61,12,11,11,11
g361031702022,52,8,6,36,11,22,6,25,3,11,11,11,11
g361031702023,83,12,66,18,31,18,35,25,10,10,11,11,11
g361031702024,54,10,29,26,23,38,22,10,12,11,8,11,11
g361031702025,93,43,71,48,28,11,29,39,16,21,11,11,11
g361031803001,135,43,95,71,58,47,17,16,46,11,11,3,11
g361031803002,119,16,88,31,63,57,46,26,55,10,11,11,8
g361031904011,115,71,79,51,50,10,87,11,20,11,11,11,11
g361031904012,132,52,11,11,22,18,32,58,102,11,11,11,11
g361031904013,140,81,124,59,11,36,8,11,48,11,11,11,11
g361031904014,11,11,11,11,11,11,11,11,11,11,11,11,11
g361031904015,142,40,47,72,11,11,41,118,124,11,11,28,11
g361031904016,125,11,54,71,48,49,27,11,71,11,11,11,11
g361031904017,203,47,144,162,80,41,11,52,153,11,11,11,11
g361031904021,79,33,46,24,26,11,21,48,20,8,23,11,11
g361031904022,73,39,56,32,24,22,11,48,15,8,11,11,8
g361031904031,109,11,35,41,74,22,19,53,68,11,11,11,11
g361031904032,78,29,46,27,21,22,15,14,67,15,11,11,11
g361031904033,134,11,61,51,36,31,18,68,84,40,11,15,11
g361031905021,72,8,49,41,47,12,11,29,14,11,11,11,11
g361031905022,70,11,31,41,19,22,27,32,32,11,5,11,11
g361031905023,72,9,54,25,23,15,17,33,38,13,11,11,11
g361031905031,65,20,40,27,33,8,15,20,43,11,11,23,11
g361031905032,96,11,43,54,47,9,11,55,58,11,11,11,11
g361031905033,83,6,55,39,20,45,42,11,27,11,11,11,11
g361031905034,59,16,35,22,29,24,8,16,21,11,11,11,11
g361031905041,65,12,44,54,11,11,3,11,16,9,11,11,11
g361031905042,68,11,42,27,17,11,26,11,64,9,11,11,11
g361031905043,67,25,34,35,31,14,11,11,28,11,11,11,11
g361031906011,57,11,37,38,18,14,21,22,6,11,11,11,11
g361031906012,104,49,79,34,21,25,21,62,15,11,11,11,11
g361031906013,87,35,56,58,53,35,19,24,49,11,11,11,11
g361031906014,109,11,65,65,28,65,30,11,32,11,11,11,11
g361031906015,75,15,17,53,13,42,11,11,47,11,11,11,11
g361031906016,70,5,56,21,17,11,7,24,23,11,11,11,11
g361031906031,116,16,51,63,34,42,16,11,92,11,11,11,13
g361031906032,130,60,108,81,27,30,29,42,83,11,11,11,11
g361031906033,118,32,73,44,43,35,30,53,29,41,11,11,11
g361031906041,157,61,145,49,38,30,30,35,42,12,19,11,11
g361031906042,139,55,69,91,42,39,11,58,93,11,11,11,11
g361031906043,128,11,20,50,34,15,29,64,87,11,11,11,11
g361031907041,123,9,66,88,21,16,11,73,19,18,11,11,37
g361031907042,59,11,43,27,21,5,15,11,11,6,15,5,18
g361031907043,45,14,19,16,23,4,17,4,11,11,11,11,3
g361031907044,70,11,33,69,18,14,19,16,33,11,11,11,11
g361031907045,96,12,81,51,21,15,22,11,23,11,16,11,11
g361031907051,30,11,17,10,19,11,11,11,10,11,11,11,11
g361031907052,124,52,43,47,35,58,57,104,35,11,11,11,11
g361031907053,56,16,25,28,30,25,20,11,16,16,11,11,11
g361031907054,112,30,78,30,55,36,50,54,37,11,15,11,11
g361031907055,91,11,32,35,33,34,11,69,52,50,11,11,11
g361031907061,100,25,63,57,29,35,36,19,43,19,11,11,11
g361031907062,110,19,46,80,44,11,35,33,76,16,11,11,18
g361031907063,86,48,57,37,11,47,54,18,11,11,11,11,11
g361031907064,93,15,31,48,30,61,16,11,30,38,11,11,11
g361031907065,83,27,40,8,26,59,11,16,63,13,11,11,11
g361031907071,99,21,70,53,73,27,16,33,21,11,11,11,11
g361031907072,128,49,64,37,20,51,14,13,95,18,11,11,11
g361031907073,78,16,62,41,42,11,11,11,11,32,11,11,11
g361031907074,125,16,106,40,30,16,11,80,15,11,11,11,11
g361031907075,153,73,55,111,36,39,78,11,25,11,11,11,11
g361031907081,58,12,29,28,24,14,16,7,19,11,11,4,11
g361031907082,102,19,33,22,41,25,28,15,87,8,11,11,11
g361031908001,105,11,53,36,37,24,15,30,62,11,14,11,11
g361031908002,85,64,41,32,59,11,22,9,22,27,11,11,11
g361031908003,101,21,44,44,29,50,25,65,15,11,11,11,11
g361031908004,81,11,38,25,40,25,11,70,11,29,11,11,11
g361032009011,66,14,21,18,17,19,15,31,47,13,8,11,5
g361032009012,52,9,19,18,20,21,24,15,15,6,5,11,11
g361032009021,164,38,83,105,26,33,11,11,93,11,11,11,11
g361032009022,98,23,62,77,11,11,11,15,34,11,11,11,11
g361032009023,159,11,66,74,19,36,27,116,19,79,11,11,11
g361032009024,111,26,22,26,60,59,11,11,27,24,68,11,11
g361032009025,71,9,40,22,31,19,13,31,27,18,11,11,6
g361032009026,198,38,172,105,58,23,27,38,125,11,11,11,11
g361032009027,103,34,55,39,32,12,28,25,35,11,12,11,11
g361032010011,131,30,92,76,38,40,32,11,11,79,11,11,11
g361032010012,141,11,79,62,36,31,28,93,39,11,11,11,11
g361032010013,152,22,95,92,63,11,46,11,28,11,11,11,11
g361032010014,119,11,61,46,33,60,11,69,11,11,11,11,11
g361032010015,188,41,128,83,54,19,11,11,118,11,11,11,11
g361032010031,124,11,53,68,33,34,45,57,89,15,10,11,20
g361032010032,68,11,53,23,37,11,7,26,11,11,11,11,11
g361032010033,57,33,15,11,29,11,6,11,11,33,11,11,11
g361032010034,84,16,30,26,22,25,45,22,46,4,11,11,11
g361032010035,110,26,65,48,11,43,10,17,62,31,11,11,11
g361032010041,50,16,11,46,11,11,16,11,15,11,11,11,11
g361032010042,120,55,25,20,50,45,18,54,68,11,11,11,11
g361032010043,98,26,27,49,24,53,56,15,43,11,11,11,11
g361032010044,93,11,40,48,14,15,16,53,30,20,11,11,11
g361032010045,148,62,63,55,74,37,69,11,65,11,11,11,11
g361032010046,113,23,46,38,59,59,15,15,17,57,11,11,11
g361032011001,116,41,91,101,28,24,14,34,38,28,11,11,11
g361032011002,100,11,85,46,33,11,27,65,12,33,11,11,8
g361032011003,11,11,11,11,11,11,11,11,11,11,11,11,11
g361032011004,121,42,71,65,19,27,42,36,25,11,11,11,11
g361039901000,11,11,11,11,11,11,11,11,11,11,11,11,11
