GEOID,B25038_001M,B25038_003M,B25038_004M,B25038_005M,B25038_006M,B25038_007M,B25038_008M,B25038_010M,B25038_011M,B25038_012M,B25038_013M,B25038_014M,B25038_015M
g361031225021,97,68,75,75,42,68,16,11,72,27,11,11,30
g361031225022,81,11,35,41,28,26,15,61,26,11,11,11,11
g361031225023,76,11,37,57,11,35,53,42,8,11,11,11,11
g361031226011,92,25,74,59,32,51,53,54,22,11,11,11,11
g361031226012,91,52,75,40,30,29,53,14,13,15,11,11,11
g361031226013,95,12,60,63,36,37,52,124,34,36,11,11,11
g361031226021,86,30,79,71,61,41,48,11,36,10,11,11,11
g361031226022,87,24,66,77,58,47,60,11,41,11,11,20,11
g361031226031,78,11,61,26,27,23,31,36,67,11,11,16,11
g361031226032,126,75,107,28,54,45,61,45,25,11,11,10,11
g361031226033,86,11,24,11,20,27,31,76,67,15,12,11,11
g361031226034,106,22,84,30,61,26,38,11,60,11,11,11,11
g361031227041,52,11,51,16,11,14,10,11,60,11,11,11,11
g361031227042,55,19,48,35,15,43,33,11,44,11,11,23,11
g361031227051,65,17,76,51,51,39,37,41,39,11,13,11,11
g361031227052,66,39,42,51,12,20,30,39,12,11,11,11,11
g361031227061,111,12,54,68,35,46,40,13,17,30,11,11,11
g361031227062,107,49,74,65,14,27,30,89,29,28,11,11,14
g361031227063,64,11,47,34,28,10,11,11,23,11,11,11,11
g361031227071,62,34,65,64,28,18,56,35,64,15,11,11,11
g361031227072,59,13,55,63,23,19,49,28,11,11,11,11,11
g361031228011,108,29,86,89,21,47,33,18,94,11,11,11,11
g361031228012,99,11,94,59,46,52,73,33,59,39,15,11,11
g361031228013,85,31,77,39,58,35,17,11,11,11,11,11,11
g361031228014,136,11,130,88,68,90,11,57,80,11,15,11,11
g361031228021,70,38,82,44,39,16,38,37,55,11,11,11,11
g361031228022,84,43,87,53,49,37,51,11,46,11,11,11,11
g361031229011,112,46,95,90,63,61,37,11,49,26,11,11,11
g361031229012,81,11,54,38,58,18,21,40,18,11,11,11,11
g361031229013,72,38,50,52,29,49,29,9,22,11,11,11,11
g361031229014,107,27,69,66,11,44,38,11,33,36,11,11,11
g361031229021,112,16,57,45,77,40,28,81,82,21,21,11,11
g361031229022,77,20,61,40,46,11,38,21,39,14,11,17,11
g361031229023,86,16,65,63,23,34,21,41,23,11,11,11,11
g361031230011,69,38,60,80,35,20,43,11,11,27,11,11,11
g361031230012,92,11,64,69,56,35,42,11,62,12,11,11,11
g361031230013,103,39,32,28,62,18,29,71,77,9,11,11,11
g361031230014,102,44,68,41,37,50,37,53,23,11,11,11,11
g361031230021,80,21,66,66,35,28,38,46,11,11,11,11,11
g361031230022,80,15,65,77,29,26,11,36,17,11,11,11,11
g361031230023,85,39,61,31,30,55,25,36,43,20,11,11,11
g361031231011,84,12,79,52,23,16,23,11,24,36,11,11,11
g361031231012,73,12,23,65,19,17,34,11,11,11,11,11,11
g361031231013,107,11,65,54,41,61,29,19,75,17,11,11,11
g361031231021,80,40,48,47,50,37,53,11,39,36,11,11,11
g361031231022,94,29,69,48,50,33,62,18,20,18,11,11,11
g361031231023,67,21,50,20,24,23,44,11,11,49,40,11,11
g361031232011,46,15,35,41,35,14,22,61,59,11,7,11,11
g361031232021,123,29,93,57,24,11,24,26,65,15,23,27,11
g361031232022,116,11,11,11,27,27,23,107,91,17,11,11,20
g361031232023,141,40,109,67,36,51,46,100,74,11,11,11,11
g361031232024,141,99,112,65,82,58,73,11,100,11,11,11,11
g361031233011,183,11,78,63,11,11,25,118,112,20,67,11,11
g361031233012,140,63,69,44,28,26,41,83,69,11,21,11,35
g361031233013,85,11,45,57,48,37,40,31,31,11,11,11,11
g361031233014,123,11,24,83,55,11,42,11,77,75,11,11,11
g361031233015,142,11,68,84,11,22,49,62,85,11,11,11,11
g361031233016,143,81,85,52,11,11,11,80,72,11,11,11,11
g361031233021,61,25,47,39,32,38,32,13,54,17,11,11,11
g361031234011,91,11,72,27,23,35,39,44,32,11,11,11,9
g361031234012,102,11,58,40,10,34,38,65,55,11,11,11,11
g361031234013,77,11,60,42,31,14,25,10,62,11,12,11,11
g361031234021,124,11,95,62,26,29,30,91,91,18,11,11,20
g361031234022,108,31,59,84,19,69,27,84,28,11,11,11,11
g361031234023,131,11,102,68,11,37,18,74,11,17,11,11,11
g361031234024,107,34,11,63,11,22,56,85,38,67,11,11,11
g361031234025,93,42,61,52,40,49,36,68,71,52,11,11,11
