GEOID,B25034_001M,B25034_010M,B25034_009M,B25034_008M,B25034_007M,B25034_006M,B25034_005M,B25034_004M,B25034_003M,B25034_002M,B25024_001M,B25024_002M,B25024_003M,B25024_004M,B25024_005M,B25024_006M,B25024_007M,B25024_008M,B25024_009M,B03002_001M,B03002_003M,B03002_004M,B03002_012M,B03002_006M,B11001_001M,B11001_003M,B11001_004M,B11001_009M,B11001_008M,B25004_001M,B25004_006M,B25075_001M,B25075_002M,B25075_003M,B25075_004M,B25075_005M,B25075_006M,B25075_007M,B25075_008M,B25075_009M,B25075_010M,B25075_011M,B25075_012M,B25075_013M,B25075_014M,B25075_015M,B25075_016M,B25075_017M,B25075_018M,B25075_019M,B25075_020M,B25075_021M,B25075_022M,B25075_023M,B25075_024M,B25075_025M,C17002_001M,C17002_002M,C17002_003M,C17002_004M,C17002_005M,C17002_006M,C17002_007M,C17002_008M,B25038_001M,B25038_003M,B25038_004M,B25038_005M,B25038_006M,B25038_007M,B25038_008M,B25038_010M,B25038_011M,B25038_012M,B25038_013M,B25038_014M,B25038_015M
g361031473004,140,86,91,93,91,11,11,45,40,11,140,129,11,63,11,11,11,11,11,599,113,587,336,11,140,119,116,32,25,11,11,105,11,11,11,11,11,11,11,11,11,11,11,11,11,11,32,26,11,11,48,80,11,25,11,11,599,31,11,344,11,60,59,618,140,34,101,11,11,24,25,63,108,30,11,11,38
g361031473005,179,55,11,127,95,134,99,16,24,30,179,38,11,119,79,123,35,11,35,587,109,211,513,11,179,122,130,41,134,11,11,34,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,24,11,11,11,23,11,11,11,587,30,526,74,22,165,11,202,179,11,24,11,23,11,11,128,170,11,23,11,11
g361031473006,156,91,33,48,58,34,47,131,24,11,156,106,64,28,11,106,31,25,32,433,277,62,294,11,154,100,99,76,95,20,11,104,29,11,11,11,11,11,11,11,18,11,11,26,11,11,11,20,11,11,25,29,86,86,33,11,431,289,50,30,20,204,11,286,154,49,81,81,54,33,32,108,70,11,11,11,11
g361031474011,119,95,63,54,89,47,32,68,58,11,119,108,29,78,48,30,31,11,44,435,358,40,81,49,119,117,33,73,107,11,11,108,11,11,11,11,11,11,11,27,11,11,11,11,11,11,11,11,11,11,58,95,44,55,11,11,435,69,25,46,62,43,258,406,119,49,78,74,37,81,52,80,61,31,11,11,11
g361031474012,102,78,22,112,82,91,47,35,11,11,102,99,34,96,84,11,73,39,19,269,236,41,153,29,118,101,64,19,107,93,11,105,11,11,11,11,11,11,11,11,11,11,11,20,11,11,48,35,24,48,11,85,19,37,31,11,269,149,31,24,73,11,98,248,118,49,91,60,41,11,19,61,93,31,31,11,11
g361031474013,122,67,77,78,53,72,96,11,74,11,122,127,31,21,70,11,11,24,11,481,275,477,434,11,118,106,64,62,56,56,11,116,11,11,11,11,11,11,20,19,11,11,11,11,11,11,11,11,23,11,43,88,121,11,11,11,481,8,54,25,33,11,93,477,118,57,117,36,51,32,34,35,110,11,11,11,11
g361031474014,105,68,11,81,44,69,11,19,11,11,105,39,19,32,39,94,26,38,44,242,215,132,98,47,107,55,43,68,91,20,11,70,11,11,11,11,11,11,11,11,11,11,11,11,11,50,44,26,11,39,11,29,24,11,11,11,242,23,11,11,26,21,11,245,107,23,67,47,29,11,11,69,74,11,11,11,11
g361031474021,55,33,31,61,13,20,21,25,51,11,55,55,11,11,11,11,11,11,11,153,148,11,59,11,52,50,28,15,29,48,11,57,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,36,53,52,26,19,153,11,11,11,99,16,11,163,52,28,38,56,32,27,28,20,22,11,11,11,11
g361031474022,60,27,19,55,40,56,15,31,47,11,60,58,52,11,17,11,11,11,11,199,201,11,57,65,65,55,47,20,64,28,11,66,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,45,18,11,11,25,71,39,26,199,4,11,11,11,11,11,201,65,56,57,41,26,40,11,12,11,11,11,11,11
g361031474023,59,43,27,47,32,54,12,11,24,11,59,51,11,11,13,11,11,11,11,165,158,11,77,17,53,56,28,16,53,41,11,57,11,26,11,20,11,11,15,11,11,11,11,11,11,11,11,11,11,11,11,51,51,40,22,22,165,16,11,16,11,26,11,166,53,27,52,41,30,50,22,28,11,11,11,11,11
g361031475011,96,76,22,40,46,67,73,11,11,11,96,63,11,68,11,11,62,62,46,365,351,11,133,11,96,90,47,19,59,58,11,60,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,11,11,48,43,34,11,11,365,11,22,11,99,11,11,355,96,11,34,52,35,35,23,72,64,30,11,11,11
g361031475012,131,74,47,113,54,32,92,35,15,11,131,129,35,81,79,11,11,11,11,531,496,11,137,11,132,128,26,33,64,93,11,128,11,11,11,11,11,30,11,11,11,17,11,11,11,11,11,11,11,34,49,117,73,54,11,11,531,11,176,24,11,198,2,557,132,27,82,102,84,61,40,63,11,11,11,11,11
g361031475013,72,37,11,11,70,11,11,40,22,11,72,72,11,11,11,11,11,11,11,307,176,11,279,11,72,44,56,38,35,11,11,72,11,11,11,11,11,40,11,11,11,11,11,11,11,11,11,11,11,30,22,60,41,11,11,11,307,30,11,90,11,11,44,300,72,38,54,30,11,22,22,11,11,11,11,11,11
g361031475014,79,69,22,19,11,11,56,11,43,11,79,71,11,11,36,11,11,11,22,367,372,11,43,11,79,82,48,22,43,11,11,67,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,29,47,36,46,11,11,367,11,11,11,11,11,11,367,79,11,63,17,36,11,25,11,56,36,11,11,11
g361031475015,125,51,19,59,69,132,76,18,11,11,125,108,58,49,11,11,11,11,11,603,621,2,91,11,125,122,117,20,57,11,11,127,11,11,11,11,11,11,11,11,11,11,11,11,11,53,11,11,11,11,29,26,61,69,52,115,603,2,365,11,11,23,11,479,125,11,103,105,66,51,26,11,11,26,11,11,11
g361031475016,116,90,42,65,49,71,57,11,18,11,116,92,29,62,24,66,30,25,44,344,331,97,147,11,111,98,37,18,89,102,58,102,11,11,11,11,11,11,11,11,11,11,11,11,11,25,21,35,48,15,32,88,32,34,26,11,344,54,23,98,125,34,11,338,111,32,63,43,63,52,62,18,46,42,20,11,11
g361031475021,72,11,18,69,45,11,11,11,25,11,72,75,11,11,11,11,11,21,11,269,261,6,49,27,62,61,44,27,15,58,11,62,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,28,38,67,11,11,21,230,11,14,11,16,11,16,232,62,39,50,24,44,23,22,11,11,11,11,11,11
g361031475022,66,19,25,60,51,35,24,35,11,11,66,66,11,11,11,11,11,11,11,281,281,11,11,11,66,81,42,14,46,11,11,66,11,11,22,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,54,57,53,33,11,281,11,43,14,25,11,11,290,66,29,46,71,55,21,31,11,11,11,11,11,14
g361031475023,97,11,32,110,69,22,11,11,11,11,97,78,80,11,11,11,11,11,11,321,347,11,102,22,96,75,47,80,39,39,11,96,11,11,11,11,11,11,11,15,11,11,11,11,11,11,11,11,11,11,12,94,81,62,10,15,321,81,11,82,29,85,11,299,96,36,63,62,53,86,46,11,11,11,11,11,11
g361031475024,76,67,32,69,65,28,26,11,11,11,76,78,15,67,11,11,11,11,11,451,427,11,52,11,76,76,71,11,18,11,11,80,20,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,11,11,23,74,49,59,11,67,447,82,42,4,4,24,348,429,76,29,92,55,52,36,57,16,11,11,11,12,11
g361031475025,64,33,33,63,47,33,28,23,11,11,64,64,11,11,11,11,11,11,11,243,226,11,57,47,64,66,49,11,20,11,11,59,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,11,11,50,29,41,32,15,243,11,18,11,132,11,52,242,64,26,37,47,39,28,28,11,47,11,11,11,11
g361031475031,32,42,53,48,60,35,43,21,40,11,32,45,8,35,11,12,11,11,11,226,260,3,50,68,32,59,38,19,47,11,11,44,11,11,11,11,11,11,11,11,24,8,11,11,11,11,11,11,11,15,55,12,35,65,48,37,226,22,53,33,25,61,11,236,32,14,76,58,26,25,33,35,11,12,11,11,11
g361031476011,50,11,11,51,34,43,45,11,19,11,50,50,11,11,11,11,11,11,11,261,192,31,177,19,55,59,40,15,32,32,11,58,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,11,40,45,52,32,9,225,9,17,11,18,7,7,228,55,21,54,42,40,18,21,11,7,11,11,11,11
g361031476012,48,54,32,25,30,44,8,11,22,11,48,54,27,26,11,19,18,11,11,200,220,11,53,11,51,59,29,11,41,37,26,48,13,11,11,11,11,11,11,7,11,13,11,11,11,11,11,11,11,11,8,36,42,43,24,24,200,25,11,26,31,46,11,200,51,18,45,37,39,24,20,19,19,11,11,11,11
g361031476021,106,11,11,35,75,78,35,70,86,11,106,70,40,31,60,87,84,66,51,386,366,58,18,57,112,104,66,26,84,89,56,97,11,11,11,11,11,11,11,11,11,11,11,21,11,15,45,21,49,51,21,65,75,43,11,11,385,11,24,60,51,45,11,389,112,75,48,62,57,31,43,51,44,32,11,11,11
g361031476022,101,44,11,50,92,111,45,22,11,11,101,102,44,11,11,11,25,11,11,340,322,11,114,25,96,97,38,11,48,48,45,89,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,33,89,94,23,11,340,11,76,104,11,89,11,367,96,30,92,61,82,54,32,45,11,11,11,11,11
g361031476023,89,11,11,33,57,52,44,78,45,11,89,79,54,33,17,26,26,29,18,322,225,7,23,280,89,60,49,11,70,11,11,88,11,11,11,11,11,16,11,11,11,11,11,11,11,11,11,11,11,11,47,69,74,27,11,49,322,19,33,11,19,20,283,242,89,45,50,77,58,11,49,36,34,25,11,11,33
g361031476024,81,11,11,75,70,31,11,15,32,11,81,81,11,15,11,11,11,11,11,338,326,9,109,11,81,80,47,26,26,11,11,81,11,11,11,11,11,11,11,16,11,11,11,11,11,11,11,11,11,11,25,81,65,41,11,11,338,19,76,52,235,26,11,219,81,11,85,44,54,29,41,11,11,11,11,11,11
g361031477011,61,53,20,42,74,42,49,32,25,11,61,64,15,26,28,41,11,31,15,241,252,19,75,75,60,62,59,53,39,11,11,62,11,11,12,11,11,11,11,11,11,11,11,11,11,11,10,11,11,25,21,57,49,45,15,11,215,2,75,136,44,33,116,251,60,22,65,39,46,35,20,51,39,15,11,11,11
g361031477012,61,53,11,37,73,29,29,10,33,11,61,65,13,11,21,52,20,24,14,187,166,11,67,50,70,71,43,36,56,38,11,67,11,11,11,11,11,11,11,11,11,11,11,11,11,29,22,31,14,15,17,52,63,16,11,19,187,33,50,15,21,48,4,189,70,27,50,45,43,44,31,20,39,11,11,11,11
g361031477021,87,33,24,80,64,40,26,15,11,11,87,90,11,11,11,16,11,11,11,280,257,11,51,39,78,82,42,11,43,34,11,77,11,11,11,11,11,11,24,10,11,11,11,11,11,11,12,11,11,11,22,49,62,44,11,11,280,19,25,83,11,11,36,291,78,24,63,68,32,41,22,11,16,11,37,11,11
g361031477022,79,64,67,90,47,11,25,33,61,11,79,79,11,11,11,11,11,11,11,228,199,11,60,51,70,48,13,48,48,90,87,60,11,11,14,11,11,11,19,11,11,11,11,11,11,11,11,11,11,20,27,52,30,13,11,11,228,11,12,11,19,69,11,199,70,23,49,40,39,19,32,46,11,11,11,11,11
g361031477023,89,25,12,67,71,22,49,10,11,11,89,76,11,51,15,11,11,11,13,345,322,11,175,7,87,86,61,17,39,34,11,73,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,30,63,63,42,11,11,345,11,23,146,95,22,11,355,87,17,64,51,23,43,35,45,22,22,11,11,11
g361031477024,59,49,31,25,25,11,14,15,40,11,59,52,11,38,46,11,13,11,11,227,227,11,17,11,55,55,19,14,37,38,38,54,11,11,11,11,11,11,11,11,11,11,11,11,11,16,11,11,11,11,24,44,43,20,11,11,227,18,5,5,11,37,11,214,55,11,30,45,33,11,21,19,13,15,11,17,11
g361031478021,76,43,41,56,36,19,14,11,11,11,76,56,12,24,18,10,32,27,16,222,198,11,99,11,76,53,50,19,36,11,11,55,11,11,11,11,11,11,11,11,11,18,11,11,11,11,11,11,11,11,15,43,37,32,11,11,222,29,16,18,61,11,11,207,76,32,41,33,25,20,16,47,34,24,11,11,11
g361031478022,64,72,25,52,42,17,20,11,11,11,64,67,13,9,11,11,11,11,11,277,284,2,89,11,64,75,17,11,39,26,11,65,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,11,11,13,17,32,31,56,53,16,277,12,14,11,129,11,17,274,64,21,62,45,45,22,38,11,15,11,11,11,11
g361031478023,77,80,28,51,31,45,11,20,11,11,77,76,11,26,34,41,11,11,16,226,213,11,109,11,78,65,27,38,64,33,11,78,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,47,28,27,53,46,31,13,219,12,11,43,11,13,32,216,78,26,44,67,29,26,31,69,12,34,11,11,11
g361031478031,56,20,16,52,22,22,73,68,61,11,56,66,58,30,32,59,68,49,35,175,207,11,97,11,78,65,47,19,81,63,11,65,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,11,27,48,69,43,46,25,11,175,28,21,16,94,64,26,196,78,28,62,49,47,16,21,52,67,11,11,11,11
g361031478032,56,43,18,35,33,14,26,48,11,11,56,46,11,11,27,11,20,25,39,201,172,60,66,34,56,49,34,11,42,11,11,49,11,11,11,20,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,49,31,41,14,11,194,83,28,60,11,60,11,192,56,35,43,47,34,22,20,38,30,11,11,11,11
g361031478041,87,38,11,77,97,37,12,15,11,11,87,87,11,11,11,11,11,11,11,324,336,11,25,33,87,87,64,11,57,11,11,87,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,14,53,89,69,57,11,11,324,11,15,16,31,48,11,329,87,63,79,75,46,31,33,11,11,11,11,11,11
g361031478042,76,65,13,32,50,50,11,11,11,11,76,76,14,11,18,17,11,11,11,246,244,11,70,11,76,83,22,18,25,11,11,81,11,11,11,11,11,11,11,15,11,11,11,11,11,11,11,11,11,11,11,39,54,70,11,11,246,167,11,11,11,80,11,199,76,30,59,58,18,13,43,14,27,11,11,11,11
g361031478043,63,20,11,21,56,50,20,14,11,11,63,60,11,20,11,11,11,11,11,260,252,7,45,38,63,68,42,23,32,11,11,63,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,22,48,45,50,14,11,312,11,13,11,36,14,21,313,63,21,55,52,38,42,36,11,11,11,11,11,11
g361031478044,62,14,19,40,59,57,31,18,11,11,62,62,11,11,11,11,11,11,11,196,196,15,8,11,62,71,21,11,36,11,11,62,19,11,11,11,11,11,11,13,11,11,11,11,11,11,11,11,11,13,30,59,56,42,11,16,196,17,38,19,11,72,11,226,62,11,58,61,39,35,25,11,11,11,11,11,11
g361031479011,101,35,11,71,55,54,29,55,37,11,101,97,24,9,39,11,11,11,11,313,320,11,92,25,101,85,54,22,46,36,11,102,16,11,11,11,11,19,11,11,11,11,11,11,11,11,11,11,11,19,35,83,77,21,15,10,313,89,15,62,30,40,78,309,101,45,71,56,52,43,28,15,19,37,11,11,11
g361031479012,100,30,11,13,36,36,26,74,117,16,100,45,11,25,32,70,92,73,57,159,153,20,46,11,98,45,29,32,90,79,11,31,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,20,22,11,11,11,11,159,33,31,72,11,78,18,148,98,16,17,16,16,11,11,64,95,31,11,11,11
g361031479013,99,15,15,17,79,85,52,72,58,11,99,66,17,11,19,10,90,80,65,338,365,89,113,42,99,89,72,30,70,58,11,40,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,45,20,11,15,11,338,137,40,12,153,70,122,315,99,13,13,37,11,11,17,90,94,22,11,11,11
g361031479021,53,31,38,15,27,27,20,14,11,11,53,53,11,11,11,11,11,11,11,183,177,11,11,38,53,55,33,11,23,11,11,53,11,11,11,11,11,11,11,11,11,11,11,15,11,11,11,11,11,13,11,37,35,41,24,11,183,88,11,11,22,100,43,123,53,11,32,35,29,41,25,20,11,11,11,11,11
g361031479022,81,35,44,58,57,30,24,11,48,11,81,82,11,14,11,11,11,11,11,345,345,11,79,11,83,84,40,14,18,29,12,86,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,40,31,83,20,345,13,11,27,48,12,25,357,83,37,70,34,28,44,11,11,24,11,11,11,11
g361031479023,80,80,56,56,32,11,52,13,11,11,80,81,11,13,11,11,11,11,11,364,333,14,227,35,82,84,27,11,34,33,11,83,11,11,11,11,11,11,11,11,11,11,18,11,11,11,11,11,11,11,16,34,67,60,59,12,364,14,30,11,11,203,139,370,82,11,60,88,40,22,22,23,11,13,11,11,11
g361031479024,55,66,33,35,34,17,36,21,16,11,55,54,11,11,11,11,11,11,11,234,234,11,13,11,56,66,34,11,36,34,11,59,13,11,11,11,11,11,11,11,11,11,11,11,11,16,11,11,11,19,11,59,34,48,23,11,234,19,55,11,11,57,11,244,56,38,40,54,25,34,26,16,19,11,14,11,11
g361031580011,70,23,24,19,24,33,25,24,11,11,70,72,5,11,11,11,11,11,11,138,124,11,17,56,59,54,11,4,23,30,12,58,3,11,11,11,11,11,11,11,11,11,11,11,11,4,11,11,11,11,11,7,4,20,22,46,138,16,11,4,9,4,26,134,59,17,34,34,18,20,6,11,7,6,14,11,4
g361031580012,45,41,19,22,16,6,21,19,12,11,45,43,6,8,11,11,11,11,11,152,123,11,21,47,44,40,15,13,32,22,13,46,11,11,11,11,11,5,11,11,11,11,11,11,11,7,5,11,11,6,15,28,20,17,15,18,152,7,16,11,4,26,11,151,44,21,25,35,16,18,11,24,8,4,11,11,11
g361031580013,71,38,42,56,41,26,18,16,14,11,71,70,11,11,11,11,11,11,12,147,149,11,18,28,49,50,17,21,32,65,11,50,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,11,25,15,31,39,34,28,147,11,19,11,11,11,11,147,49,11,43,35,32,11,25,11,11,12,11,11,16
g361031580014,67,74,16,26,14,30,25,39,15,11,67,65,35,11,11,11,11,11,11,225,217,11,73,39,64,63,12,11,40,41,41,65,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,37,30,48,42,57,225,13,11,11,11,46,11,226,64,66,47,42,27,14,15,8,13,11,11,11,11
g361031580015,48,23,11,11,38,19,21,38,11,11,48,48,11,11,11,11,11,11,11,239,94,36,74,30,48,44,23,6,13,11,11,47,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,12,32,19,36,239,7,11,9,11,11,11,238,48,14,21,50,23,11,18,11,14,11,11,11,11
g361031580021,72,59,11,49,77,27,34,11,36,11,72,72,11,11,11,11,11,11,11,274,269,11,126,46,74,76,11,40,33,20,11,74,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,26,60,55,68,47,11,274,22,11,11,11,54,11,279,74,30,62,60,26,32,57,11,30,11,11,11,11
g361031580022,101,11,11,110,78,38,52,29,11,11,101,101,11,11,11,11,11,11,11,239,161,5,197,81,88,54,25,11,88,70,70,88,11,11,11,11,11,11,11,11,11,11,15,11,11,11,11,11,11,11,11,34,98,58,27,11,236,11,11,11,43,80,11,223,88,11,95,48,39,47,36,11,11,11,11,11,11
g361031580023,124,104,31,102,43,40,62,40,24,11,124,130,78,68,11,11,11,11,11,428,414,108,11,106,124,134,32,33,24,11,11,126,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,32,83,123,45,29,422,133,34,28,52,94,11,365,124,14,126,70,81,38,41,28,32,11,11,11,11
g361031580024,116,77,24,85,24,36,11,11,55,11,116,116,11,11,11,11,11,11,11,423,402,11,91,44,121,81,55,87,39,21,21,116,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,28,11,32,105,24,11,423,11,152,11,11,11,44,391,121,11,98,48,39,11,32,23,55,11,11,11,11
g361031580025,69,35,21,53,64,41,20,24,11,11,69,73,11,26,11,11,11,11,11,233,248,11,11,34,69,64,32,11,47,11,11,78,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,51,73,24,11,233,49,11,11,31,11,11,242,69,67,47,39,34,32,11,40,34,11,11,11,11
g361031580026,89,11,26,92,64,42,49,37,11,11,89,89,11,11,11,11,11,11,11,328,327,11,11,41,86,88,36,11,52,47,27,86,27,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,31,11,45,32,70,83,47,328,11,11,11,22,125,11,319,86,58,102,59,45,31,25,11,11,11,11,11,11
g361031580061,110,11,11,24,115,50,64,25,26,11,110,105,73,11,11,22,11,29,11,406,362,11,129,239,111,122,81,11,105,30,11,124,11,11,11,11,13,11,11,24,11,11,11,11,11,11,11,11,11,24,51,79,123,68,11,11,406,30,22,29,11,120,23,398,111,53,101,93,67,52,78,24,86,11,11,11,11
g361031580062,106,11,11,48,116,76,87,31,11,11,106,102,46,60,11,11,11,11,11,419,363,111,232,192,106,109,20,66,65,11,11,103,33,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,41,25,98,104,76,35,11,419,132,21,53,11,11,11,430,106,33,87,106,76,49,56,81,11,11,11,11,11
g361031580063,106,69,67,11,81,46,31,11,11,11,106,94,69,11,69,11,11,11,11,364,341,7,26,191,105,86,32,34,76,65,11,99,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,21,25,29,34,46,72,11,11,11,362,196,27,11,11,25,35,348,105,35,70,49,28,11,37,76,27,25,11,11,11
g361031580064,68,11,11,63,36,11,21,11,15,11,68,68,11,11,11,11,11,11,11,191,170,62,71,42,68,75,25,11,23,11,11,68,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,62,53,29,23,15,11,191,49,11,11,11,11,11,190,68,62,25,47,22,11,11,11,11,11,11,11,11
g361031580071,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,516,185,77,80,288,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
g361031580072,11,10,13,16,6,11,11,11,11,11,11,13,11,8,11,11,11,11,11,221,196,28,32,103,11,16,17,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,16,13,6,11,6,46,11,11,17,11,11,11,52,11,11,14,6,11,11,11,11,11,5,11,11,11
g361031580073,13,11,11,11,11,13,11,11,11,11,13,13,11,11,11,11,11,11,11,151,106,30,53,84,13,11,11,11,13,11,11,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,11,11,11,13,11,11,11,11,11,11,13,13,11,11,13,11,11,11,11,11,11,11,11,11
g361031580074,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,576,358,137,137,297,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
g361031580091,52,11,6,30,47,18,39,31,7,11,52,53,10,11,11,11,11,11,11,206,208,11,11,56,52,51,17,11,25,7,11,52,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,31,47,45,11,14,195,3,11,47,4,8,11,199,52,19,37,47,22,26,20,8,8,11,11,11,11
g361031580092,58,11,11,15,61,14,11,25,8,11,58,56,8,11,10,11,11,11,11,187,190,11,72,60,58,56,19,8,31,11,11,59,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,55,56,34,20,7,187,8,26,38,7,44,11,195,58,28,36,57,16,27,22,14,11,11,11,11,11
g361031580101,68,22,16,25,80,56,101,14,11,11,68,71,11,20,11,11,11,11,11,274,269,81,102,156,83,78,25,11,52,92,11,83,19,11,11,11,11,11,11,20,11,20,11,13,16,11,11,11,11,9,11,30,84,86,24,11,274,11,20,66,11,11,11,286,83,45,69,56,65,62,31,11,11,11,11,11,11
g361031580102,60,11,11,26,67,27,27,22,11,11,60,63,11,11,11,11,11,11,24,264,238,11,11,181,60,67,43,11,11,11,11,63,22,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,67,48,40,14,11,264,34,11,11,11,11,11,249,60,11,73,36,35,26,24,11,24,11,11,11,11
g361031580103,51,11,11,11,59,43,23,11,11,11,51,54,11,11,11,11,11,11,11,167,172,11,11,41,51,50,27,11,32,11,11,54,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,28,43,65,11,11,167,23,11,11,11,11,11,173,51,11,27,49,28,45,36,11,11,11,11,11,11
g361031580111,73,11,11,34,65,17,41,66,60,11,73,81,59,11,31,15,11,11,11,254,234,119,61,55,82,97,46,19,56,47,45,90,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,11,11,32,51,87,76,25,11,11,254,8,15,26,47,152,11,260,82,27,91,70,47,35,49,24,44,13,11,11,11
g361031580112,65,11,11,11,58,42,31,67,49,11,65,65,11,11,11,11,11,11,11,297,303,11,14,126,65,63,41,11,36,11,11,65,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,13,11,46,54,62,48,17,297,23,304,11,25,11,11,291,65,40,75,68,32,36,22,11,11,11,11,11,11
g361031580113,67,11,11,22,84,88,18,36,11,11,67,36,11,11,37,80,61,15,69,228,234,11,29,20,92,59,49,55,91,69,69,102,35,11,11,11,11,11,11,11,11,11,11,55,58,41,58,33,11,36,11,11,11,16,18,11,228,19,25,50,31,39,37,221,92,70,98,32,11,11,11,18,45,18,11,11,11
g361031581021,112,34,12,55,101,80,79,36,43,11,112,99,44,73,62,23,38,17,26,410,363,60,329,199,115,107,70,14,89,56,11,111,11,11,11,11,11,11,17,11,11,11,11,11,11,11,11,11,17,51,85,93,50,12,22,11,410,15,64,135,28,68,22,434,115,20,94,75,34,37,50,42,84,27,18,11,14
g361031581022,103,11,11,19,49,100,98,62,11,11,103,111,11,47,11,11,11,11,11,413,344,61,238,41,95,105,88,42,22,39,11,95,17,11,11,11,11,11,21,11,11,11,11,11,11,17,11,11,12,19,96,98,35,62,11,11,416,21,32,131,25,11,41,423,95,36,57,97,49,62,14,11,11,11,11,11,11
g361031581031,89,66,91,75,92,40,67,87,46,11,89,89,11,75,14,11,11,11,11,437,380,212,262,56,117,97,105,72,41,74,11,123,11,11,11,11,11,11,11,11,11,11,11,11,11,11,46,5,15,47,74,95,78,32,30,11,425,306,31,64,123,98,11,378,117,64,97,60,75,45,42,73,49,11,11,11,11
g361031581032,84,11,34,56,79,56,8,17,15,11,84,68,11,71,11,11,11,11,11,344,241,171,232,52,84,73,75,20,55,11,11,69,11,11,11,11,11,11,11,11,11,11,11,11,11,23,11,11,17,45,49,52,35,11,11,11,344,11,20,47,11,86,11,366,84,22,54,28,29,64,29,11,59,47,11,11,11
g361031581041,86,11,11,42,69,64,66,47,39,11,86,85,11,65,11,11,11,11,11,316,341,168,102,190,82,97,50,44,38,50,11,86,20,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,24,73,75,60,38,11,11,320,55,11,165,15,69,11,350,82,50,93,43,45,48,32,11,46,11,11,11,11
g361031581042,81,11,46,88,47,11,15,11,11,11,81,81,11,11,11,11,11,11,11,303,255,11,150,24,81,78,81,20,45,11,11,83,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,23,51,66,75,11,20,11,11,303,117,15,11,17,178,143,277,81,11,68,52,63,25,47,11,39,23,11,11,11
g361031581043,97,8,23,81,73,24,50,11,11,11,97,98,10,11,11,11,11,11,11,400,372,73,95,40,97,99,67,10,55,11,11,94,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,11,15,39,39,96,18,18,11,17,400,11,89,11,11,11,11,398,97,20,95,43,36,37,34,11,46,11,11,11,11
