GEOID,B25034_001M,B25034_010M,B25034_009M,B25034_008M,B25034_007M,B25034_006M,B25034_005M,B25034_004M,B25034_003M,B25034_002M,B25024_001M,B25024_002M,B25024_003M,B25024_004M,B25024_005M,B25024_006M,B25024_007M,B25024_008M,B25024_009M,B03002_001M,B03002_003M,B03002_004M,B03002_012M,B03002_006M,B11001_001M,B11001_003M,B11001_004M,B11001_009M,B11001_008M,B25004_001M,B25004_006M,B25075_001M,B25075_002M,B25075_003M,B25075_004M,B25075_005M,B25075_006M,B25075_007M,B25075_008M,B25075_009M,B25075_010M,B25075_011M,B25075_012M,B25075_013M,B25075_014M,B25075_015M,B25075_016M,B25075_017M,B25075_018M,B25075_019M,B25075_020M,B25075_021M,B25075_022M,B25075_023M,B25075_024M,B25075_025M,C17002_001M,C17002_002M,C17002_003M,C17002_004M,C17002_005M,C17002_006M,C17002_007M,C17002_008M,B25038_001M,B25038_003M,B25038_004M,B25038_005M,B25038_006M,B25038_007M,B25038_008M,B25038_010M,B25038_011M,B25038_012M,B25038_013M,B25038_014M,B25038_015M
g361031106003,120,75,28,103,63,95,59,11,38,11,120,103,23,75,11,42,11,11,11,306,316,17,22,37,111,104,55,46,109,74,11,88,34,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,32,72,100,68,28,306,76,44,74,26,58,11,311,111,56,56,64,72,59,37,77,54,11,11,11,11
g361031106004,134,125,54,30,50,36,74,26,11,11,134,111,11,82,84,42,11,11,11,304,279,11,122,19,115,102,46,28,98,76,41,80,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,36,11,47,64,56,48,26,304,11,11,11,27,152,19,296,115,11,44,77,51,23,22,94,91,11,11,24,11
g361031106005,101,63,11,37,50,101,32,11,33,11,101,75,98,11,11,11,11,11,11,223,222,11,11,65,72,59,73,11,44,92,11,71,11,11,11,11,11,11,11,11,11,11,11,11,11,18,11,32,11,11,11,11,35,56,47,29,223,11,11,11,24,42,126,233,72,12,56,54,24,42,21,63,11,11,11,11,11
g361031108011,40,28,26,39,61,28,19,7,22,11,40,40,11,11,11,11,11,11,11,162,179,6,53,38,44,56,26,11,40,35,32,46,11,11,11,11,11,11,11,11,11,11,11,11,9,19,11,11,11,11,11,9,28,54,39,39,160,29,20,56,29,11,11,167,44,32,41,44,26,32,32,11,17,11,11,11,11
g361031108012,38,21,18,24,25,21,10,10,9,3,38,35,12,25,11,11,11,11,11,102,98,11,11,9,33,33,11,7,15,30,14,28,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,11,11,11,13,17,23,102,21,11,11,10,33,11,97,33,10,21,17,14,11,11,8,19,11,11,11,11
g361031108031,92,19,11,64,87,52,12,20,17,20,92,92,11,11,11,11,11,11,11,309,286,35,50,71,75,73,11,22,65,65,11,84,32,11,11,11,11,11,11,11,11,11,25,11,11,11,11,11,11,11,11,68,37,30,53,53,305,92,203,11,11,22,11,238,75,20,53,76,38,19,34,11,27,11,11,11,11
g361031108032,110,91,79,57,76,111,61,30,19,11,110,127,23,38,75,11,11,11,11,514,521,11,125,11,116,132,59,11,109,32,32,117,11,11,11,11,11,11,11,11,11,11,11,11,11,17,11,11,11,19,11,41,69,81,109,40,514,145,80,20,11,258,73,462,116,45,94,120,44,41,35,96,29,11,11,11,11
g361031108033,89,19,36,75,71,65,35,26,21,11,89,89,11,11,11,11,11,11,11,359,354,11,49,95,90,86,11,25,70,48,11,90,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,22,19,68,68,77,33,359,11,24,11,11,25,11,358,90,25,61,64,71,43,47,11,11,11,11,11,11
g361031108034,84,86,53,61,77,20,20,11,63,11,84,88,28,11,11,11,11,11,11,369,377,11,43,34,91,70,39,11,71,75,11,97,11,11,11,11,11,11,11,22,11,11,11,11,11,11,11,11,27,11,21,31,54,71,58,51,369,11,47,11,11,92,11,372,91,17,94,61,48,11,11,28,40,11,11,11,11
g361031109011,84,74,17,72,11,16,11,11,14,11,84,54,55,39,69,11,11,18,11,387,188,11,370,11,96,48,61,21,75,39,39,62,11,11,11,11,11,11,11,20,11,11,11,11,11,11,11,11,11,11,11,11,35,45,30,22,387,21,24,69,11,11,11,386,96,11,57,33,24,26,24,11,77,11,11,11,11
g361031109012,65,71,16,21,59,11,11,11,15,11,65,65,11,51,11,11,11,11,11,149,149,11,11,11,71,34,38,20,63,47,11,50,11,11,11,11,11,11,11,11,15,11,11,11,11,11,11,11,11,11,14,44,32,29,22,11,149,11,54,11,11,11,11,150,71,15,43,33,14,30,18,54,25,11,11,11,11
g361031109013,85,79,72,74,27,27,37,12,15,11,85,64,43,64,53,19,11,11,11,247,246,11,82,11,85,78,63,41,88,11,11,80,11,11,11,11,11,11,11,11,16,11,11,11,11,11,11,11,11,11,11,45,85,60,24,11,247,29,11,11,21,28,11,241,85,21,74,45,53,16,26,54,63,11,11,11,11
g361031109021,78,10,11,55,61,40,10,43,11,11,78,76,13,30,23,44,11,11,10,366,138,91,352,39,76,56,70,16,35,29,11,39,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,24,26,43,11,11,366,270,148,150,11,73,11,207,76,11,41,25,11,19,18,57,59,11,11,11,10
g361031109022,85,48,53,61,82,39,11,11,61,11,85,73,54,11,51,13,11,22,35,347,106,114,344,11,84,65,92,31,49,56,11,61,11,11,12,11,13,11,11,11,11,11,11,11,18,8,11,11,11,13,56,11,11,13,11,11,347,80,324,93,152,221,11,144,84,17,42,41,11,13,18,64,56,51,30,39,11
g361031109023,75,45,44,64,52,34,35,11,43,11,75,77,11,24,11,18,11,11,11,241,233,11,50,15,78,61,57,33,74,33,11,74,11,11,11,11,11,11,9,9,11,11,11,11,11,11,11,11,11,15,30,49,61,31,11,11,241,34,122,11,18,16,37,235,78,30,64,44,32,23,38,61,42,29,11,11,11
g361031110011,59,46,37,39,28,37,36,10,15,11,59,57,28,32,11,11,11,11,11,210,131,55,159,117,57,60,29,17,53,19,11,58,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,33,39,33,47,11,11,195,13,76,163,11,119,11,167,57,27,58,37,8,22,17,20,43,10,11,9,12
g361031110012,66,45,33,63,31,18,38,16,16,11,66,70,18,19,32,11,11,34,14,246,267,28,88,33,66,69,39,34,46,11,11,71,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,11,11,14,27,65,24,11,10,246,35,75,20,59,16,11,261,66,24,61,22,25,12,29,51,42,9,11,11,11
