GEOID,B25034_001M,B03002_001M,B11001_001M,B25026_001M,B25004_001M,B25075_001M,B25024_001M
g361031457042,161,402,149,,96,112,161
g361031457043,192,1086,198,,73,139,192
g361031457044,167,343,167,,11,14,167
g361031458031,94,378,90,,40,90,94
g361031458032,87,409,95,,34,94,87
g361031458033,109,381,110,,37,84,109
g361031458041,68,217,67,,35,77,68
g361031458042,68,217,61,,43,62,68
g361031458051,118,242,122,,68,114,118
g361031458052,87,339,87,,11,86,87
g361031458053,112,360,112,,11,101,112
g361031458054,102,352,102,,11,105,102
g361031458071,82,311,86,,19,85,82
g361031458072,78,333,83,,44,88,78
g361031458081,63,270,72,,37,84,63
g361031458082,61,230,61,,11,72,61
g361031459011,83,672,84,,10,65,83
g361031459012,67,377,71,,32,74,67
g361031459021,130,719,130,,55,136,130
g361031459022,149,605,149,,11,123,149
g361031459023,156,501,155,,56,128,156
g361031459024,163,919,161,,55,142,163
g361031459031,86,498,86,,11,88,86
g361031459032,78,411,79,,41,74,78
g361031459033,100,436,100,,11,81,100
g361031459034,110,522,110,,11,92,110
g361031460011,98,735,98,,11,93,98
g361031460012,104,561,110,,46,103,104
g361031460021,116,567,118,,21,111,116
g361031460022,98,448,96,,40,77,98
g361031460023,125,695,113,,77,97,125
g361031460031,158,816,158,,11,154,158
g361031460032,135,940,138,,28,118,135
g361031460033,168,822,170,,56,159,168
g361031460034,143,663,141,,26,117,143
g361031461021,22,230,46,,41,63,22
g361031461031,85,234,75,,27,74,85
g361031461032,90,453,95,,28,100,90
g361031461051,120,290,124,,35,66,120
g361031461052,148,617,142,,64,84,148
g361031461053,109,554,109,,11,114,109
g361031461061,75,564,83,,68,81,75
g361031461062,88,389,93,,21,85,88
g361031462011,101,468,103,,38,105,101
g361031462012,107,489,109,,33,99,107
g361031462021,108,707,107,,37,95,108
g361031462022,103,634,104,,17,92,103
g361031462031,112,549,117,,62,85,112
g361031462032,76,398,80,,41,84,76
g361031462033,109,683,115,,52,82,109
g361031462041,120,585,114,,49,95,120
g361031462042,136,674,134,,29,103,136
g361031462043,92,569,92,,11,98,92
g361031462051,54,256,52,,35,51,54
g361031462052,62,276,63,,10,63,62
g361031462061,57,263,57,,11,48,57
g361031462062,54,262,55,,22,65,54
g361031463001,80,207,80,,11,77,80
g361031463002,87,245,92,,50,61,87
g361031464021,95,380,97,,64,97,95
g361031464022,64,238,65,,50,59,64
g361031464023,75,344,75,,11,75,75
g361031464031,90,489,91,,45,82,90
g361031464032,88,350,93,,46,86,88
g361031464033,76,478,76,,11,78,76
g361031464041,87,635,103,,53,92,87
g361031464042,80,350,80,,11,74,80
g361031465001,79,214,66,,54,64,79
g361031465002,55,253,60,,43,59,55
g361031465003,90,337,100,,38,105,90
g361031465004,77,313,77,,11,66,77
g361031466041,90,291,96,,34,17,90
g361031466042,75,284,76,,32,77,75
g361031466043,56,236,55,,37,52,56
g361031466051,21,87,24,,19,27,21
g361031466061,88,294,88,,11,88,88
g361031466062,123,403,123,,11,95,123
g361031466063,136,499,131,,46,116,136
g361031466064,124,541,128,,23,128,124
g361031466071,85,228,89,,25,94,85
g361031466072,78,300,84,,41,69,78
g361031466081,89,339,102,,45,96,89
g361031466082,93,269,87,,42,40,93
g361031466111,67,230,65,,26,68,67
g361031466112,58,235,58,,11,63,58
g361031466121,60,326,60,,11,58,60
g361031466122,89,347,92,,39,107,89
g361031466123,87,380,87,,11,92,87
g361031466131,65,245,65,,11,67,65
g361031466132,67,390,67,,11,67,67
g361031466141,121,339,98,,105,95,121
g361031466142,74,305,74,,11,74,74
g361031466143,119,523,119,,11,129,119
g361031466151,78,286,78,,11,73,78
g361031466152,102,314,100,,43,61,102
g361031466153,94,275,98,,55,52,94
g361031467031,108,544,116,,50,106,108
g361031467032,95,395,101,,53,104,95
g361031467041,17,101,24,,19,25,17
g361031467051,61,287,65,,24,63,61
g361031467052,61,252,61,,11,68,61
g361031467061,53,195,53,,11,54,53
g361031467062,53,174,52,,7,53,53
g361031468001,99,376,101,,14,103,99
g361031468002,99,395,97,,38,98,99
g361031468003,98,293,69,,76,69,98
g361031468004,53,214,53,,11,53,53
g361031469011,83,319,83,,11,77,83
g361031469012,79,335,79,,11,79,79
g361031469013,51,218,51,,11,47,51
g361031469014,52,206,52,,11,48,52
g361031469021,77,306,80,,40,82,77
g361031469022,83,462,83,,41,83,83
g361031469023,61,202,61,,17,61,61
g361031470011,61,238,61,,30,60,61
g361031470012,63,191,63,,11,65,63
g361031470013,71,327,71,,11,85,71
g361031470031,86,402,109,,63,109,86
g361031470032,85,387,81,,53,81,85
g361031470033,80,256,89,,54,72,80
g361031470041,75,76,27,,77,28,75
g361031471001,53,147,53,,8,54,53
g361031471002,40,132,40,,11,31,40
g361031471003,42,147,42,,11,41,42
g361031472001,167,857,167,,22,145,167
g361031472002,122,239,117,,54,70,122
g361031472003,139,447,126,,81,76,139
g361031472004,82,261,78,,54,64,82
g361031472005,124,279,125,,74,32,124
g361031473001,139,536,134,,54,73,139
g361031473002,109,331,109,,11,40,109
g361031473003,109,433,109,,11,100,109
g361031473004,140,599,140,,11,105,140
g361031473005,179,587,179,,11,34,179
g361031473006,156,433,154,,20,104,156
g361031474011,119,435,119,,11,108,119
g361031474012,102,269,118,,93,105,102
g361031474013,122,481,118,,56,116,122
g361031474014,105,242,107,,20,70,105
g361031474021,55,153,52,,48,57,55
g361031474022,60,199,65,,28,66,60
g361031474023,59,165,53,,41,57,59
g361031475011,96,365,96,,58,60,96
g361031475012,131,531,132,,93,128,131
g361031475013,72,307,72,,11,72,72
g361031475014,79,367,79,,11,67,79
g361031475015,125,603,125,,11,127,125
g361031475016,116,344,111,,102,102,116
g361031475021,72,269,62,,58,62,72
g361031475022,66,281,66,,11,66,66
g361031475023,97,321,96,,39,96,97
g361031475024,76,451,76,,11,80,76
g361031475025,64,243,64,,11,59,64
g361031475031,32,226,32,,11,44,32
g361031476011,50,261,55,,32,58,50
g361031476012,48,200,51,,37,48,48
g361031476021,106,386,112,,89,97,106
g361031476022,101,340,96,,48,89,101
g361031476023,89,322,89,,11,88,89
g361031476024,81,338,81,,11,81,81
g361031477011,61,241,60,,11,62,61
g361031477012,61,187,70,,38,67,61
g361031477021,87,280,78,,34,77,87
g361031477022,79,228,70,,90,60,79
g361031477023,89,345,87,,34,73,89
g361031477024,59,227,55,,38,54,59
g361031478021,76,222,76,,11,55,76
g361031478022,64,277,64,,26,65,64
g361031478023,77,226,78,,33,78,77
g361031478031,56,175,78,,63,65,56
g361031478032,56,201,56,,11,49,56
g361031478041,87,324,87,,11,87,87
g361031478042,76,246,76,,11,81,76
g361031478043,63,260,63,,11,63,63
g361031478044,62,196,62,,11,62,62
g361031479011,101,313,101,,36,102,101
g361031479012,100,159,98,,79,31,100
g361031479013,99,338,99,,58,40,99
g361031479021,53,183,53,,11,53,53
g361031479022,81,345,83,,29,86,81
g361031479023,80,364,82,,33,83,80
g361031479024,55,234,56,,34,59,55
g361031580011,70,138,59,,30,58,70
g361031580012,45,152,44,,22,46,45
g361031580013,71,147,49,,65,50,71
g361031580014,67,225,64,,41,65,67
g361031580015,48,239,48,,11,47,48
g361031580021,72,274,74,,20,74,72
g361031580022,101,239,88,,70,88,101
g361031580023,124,428,124,,11,126,124
g361031580024,116,423,121,,21,116,116
g361031580025,69,233,69,,11,78,69
g361031580026,89,328,86,,47,86,89
g361031580061,110,406,111,,30,124,110
g361031580062,106,419,106,,11,103,106
g361031580063,106,364,105,,65,99,106
g361031580064,68,191,68,,11,68,68
g361031580071,11,516,11,,11,11,11
g361031580072,11,221,11,,11,11,11
g361031580073,13,151,13,,11,13,13
g361031580074,11,576,11,,11,11,11
g361031580091,52,206,52,,7,52,52
g361031580092,58,187,58,,11,59,58
g361031580101,68,274,83,,92,83,68
g361031580102,60,264,60,,11,63,60
g361031580103,51,167,51,,11,54,51
g361031580111,73,254,82,,47,90,73
g361031580112,65,297,65,,11,65,65
g361031580113,67,228,92,,69,102,67
g361031581021,112,410,115,,56,111,112
g361031581022,103,413,95,,39,95,103
g361031581031,89,437,117,,74,123,89
g361031581032,84,344,84,,11,69,84
g361031581041,86,316,82,,50,86,86
g361031581042,81,303,81,,11,83,81
g361031581043,97,400,97,,11,94,97
g361031581071,80,265,80,,11,81,80
