GEOID,B25034_001E,B03002_001E,B11001_001E,B25026_001E,B25004_001E,B25075_001E,B25024_001E
g361031115032,666,2293,629,,37,504,666
g361031115033,797,1498,734,,63,257,797
g361031115041,478,1430,478,,0,446,478
g361031115051,779,2849,772,,7,734,779
g361031115052,338,1054,318,,20,261,338
g361031115053,278,841,268,,10,240,278
g361031115054,587,2026,555,,32,491,587
g361031115061,642,1804,642,,0,614,642
g361031115062,455,1805,455,,0,352,455
g361031116011,592,1479,569,,23,432,592
g361031116012,873,2210,827,,46,621,873
g361031116021,661,1785,634,,27,550,661
g361031116022,521,1474,495,,26,460,521
g361031117011,304,819,304,,0,249,304
g361031117012,586,1596,556,,30,432,586
g361031117013,283,829,283,,0,165,283
g361031117014,412,977,412,,0,299,412
g361031117015,501,1558,494,,7,446,501
g361031117031,269,899,269,,0,252,269
g361031117032,849,2242,825,,24,710,849
g361031117041,347,1160,347,,0,347,347
g361031117042,356,935,356,,0,356,356
g361031117043,400,1054,380,,20,361,400
g361031118011,356,918,318,,38,318,356
g361031118012,526,1554,496,,30,494,526
g361031118013,835,2515,830,,5,802,835
g361031118014,324,807,324,,0,299,324
g361031118021,598,1785,579,,19,552,598
g361031118022,354,1103,319,,35,304,354
g361031118031,514,1512,514,,0,495,514
g361031118032,352,1163,352,,0,334,352
g361031118041,733,2322,733,,0,695,733
g361031119001,459,1165,459,,0,447,459
g361031119002,431,862,377,,54,367,431
g361031119003,310,736,310,,0,218,310
g361031119004,438,1182,429,,9,421,438
g361031119005,410,1179,377,,33,317,410
g361031120011,579,1695,579,,0,506,579
g361031120012,1142,2889,1089,,53,913,1142
g361031120021,830,2160,773,,57,572,830
g361031120022,446,1203,446,,0,418,446
g361031120023,525,1515,472,,53,423,525
g361031121021,771,2520,771,,0,751,771
g361031121022,500,1421,476,,24,449,500
g361031121031,331,976,331,,0,323,331
g361031121032,646,1841,617,,29,617,646
g361031121033,599,1657,548,,51,313,599
g361031121041,765,2491,741,,24,655,765
g361031122041,416,1297,416,,0,416,416
g361031122042,423,1132,423,,0,363,423
g361031122043,466,1398,466,,0,443,466
g361031122061,1200,3139,1155,,45,684,1200
g361031122062,629,1833,629,,0,546,629
g361031122063,979,2670,979,,0,918,979
g361031122064,208,488,155,,53,155,208
g361031122101,382,1108,382,,0,382,382
g361031122102,722,2096,684,,38,661,722
g361031122103,685,2272,645,,40,416,685
g361031122104,581,1810,564,,17,510,581
g361031122111,636,2285,611,,25,557,636
g361031122112,468,1513,461,,7,440,468
g361031122113,335,959,311,,24,309,335
g361031122121,321,922,314,,7,314,321
g361031122122,695,2373,695,,0,642,695
g361031122131,749,2593,749,,0,704,749
g361031122132,433,1225,407,,26,371,433
g361031122133,459,1381,459,,0,459,459
g361031122141,293,993,255,,38,230,293
g361031122142,863,2900,863,,0,822,863
g361031122143,1363,2505,1290,,73,1126,1363
g361031122144,252,873,252,,0,252,252
g361031223001,524,1903,524,,0,369,524
g361031223002,798,2556,798,,0,655,798
g361031224031,485,1412,469,,16,366,485
g361031224032,325,1066,280,,45,184,325
g361031224041,685,2250,670,,15,577,685
g361031224042,426,1392,426,,0,387,426
g361031224051,741,2892,711,,30,513,741
g361031224052,262,907,255,,7,255,262
g361031224061,398,1575,368,,30,226,398
g361031224062,502,1963,469,,33,276,502
g361031224063,586,1930,520,,66,448,586
g361031225011,327,1130,310,,17,168,327
g361031225012,570,1362,495,,75,252,570
g361031225013,429,1380,429,,0,239,429
g361031225021,767,2940,744,,23,617,767
g361031225022,226,703,207,,19,151,226
g361031225023,291,979,291,,0,262,291
g361031226011,731,2066,654,,77,601,731
g361031226012,570,1660,516,,54,490,570
g361031226013,682,1922,682,,0,421,682
g361031226021,795,2504,795,,0,750,795
g361031226022,808,2438,799,,9,752,808
g361031226031,448,1454,394,,54,257,448
g361031226032,693,2149,686,,7,626,693
g361031226033,383,829,383,,0,106,383
g361031226034,502,1452,502,,0,460,502
g361031227041,193,781,169,,24,102,193
g361031227042,491,1275,491,,0,423,491
g361031227051,624,1620,592,,32,485,624
g361031227052,376,1103,365,,11,333,376
g361031227061,372,891,350,,22,308,372
g361031227062,739,2218,739,,0,541,739
g361031227063,189,447,151,,38,121,189
g361031227071,619,1902,619,,0,516,619
g361031227072,437,1296,437,,0,418,437
g361031228011,524,1570,524,,0,344,524
g361031228012,621,1430,621,,0,378,621
g361031228013,381,628,381,,0,381,381
g361031228014,657,2320,629,,28,495,657
g361031228021,715,2098,677,,38,513,715
g361031228022,767,2016,728,,39,678,767
g361031229011,755,2615,755,,0,675,755
g361031229012,356,1182,319,,37,261,356
g361031229013,358,1157,358,,0,338,358
g361031229014,484,1445,444,,40,389,484
g361031229021,699,1761,673,,26,352,699
g361031229022,563,1364,563,,0,452,563
g361031229023,416,1549,393,,23,308,416
g361031230011,469,1944,469,,0,452,469
g361031230012,458,1313,458,,0,385,458
g361031230013,442,1506,423,,19,262,442
g361031230014,501,1368,471,,30,399,501
g361031230021,642,2048,607,,35,577,642
g361031230022,401,1141,382,,19,337,401
g361031230023,517,1454,485,,32,376,517
g361031231011,454,1308,454,,0,406,454
g361031231012,236,565,212,,24,212,236
g361031231013,610,1705,565,,45,420,610
g361031231021,464,1250,436,,28,376,464
