GEOID,B25034_010M,B25034_009M,B25034_008M,B25034_007M,B25034_006M,B25034_005M,B25034_004M,B25034_003M,B25034_002M
g361031243001,66,64,82,45,22,11,26,23,11
g361031243002,79,20,102,84,65,91,16,11,11
g361031243003,114,30,47,54,12,88,57,45,11
g361031243004,28,25,115,63,44,12,24,19,11
g361031243005,70,20,22,29,90,38,29,11,11
g361031244011,11,11,46,68,80,53,34,13,11
g361031244012,19,18,22,78,79,20,47,11,21
g361031244013,34,50,83,93,26,21,21,17,11
g361031244021,20,58,67,53,43,22,9,15,11
g361031244022,64,41,76,47,47,11,14,9,11
g361031244023,75,42,76,3,58,91,11,48,11
g361031245001,71,43,39,24,26,11,11,11,11
g361031245002,71,19,47,13,16,11,11,52,11
g361031245003,32,60,38,78,46,53,24,23,11
g361031245004,59,50,47,48,31,30,23,55,46
g361031246011,28,37,50,66,13,11,7,14,16
g361031246012,19,29,37,26,17,20,11,23,11
g361031246013,15,15,43,23,21,33,11,10,10
g361031246021,49,11,31,16,28,11,11,47,11
g361031246022,87,75,46,20,69,13,13,11,11
g361031246023,68,70,58,57,30,11,26,17,11
g361031246024,76,21,22,11,54,36,14,11,11
g361031347021,90,98,94,45,61,35,65,20,11
g361031347022,61,47,131,89,11,95,38,47,11
g361031347023,26,83,21,93,89,75,82,11,11
g361031347024,39,11,73,37,11,29,11,11,11
g361031347031,20,11,22,32,57,61,39,13,11
g361031347032,23,25,42,49,36,29,29,40,14
g361031347033,11,22,43,40,58,38,33,38,11
g361031347034,44,11,38,29,34,13,11,11,12
g361031347041,41,13,32,24,53,34,18,40,11
g361031347042,33,33,34,41,48,33,24,21,11
g361031349021,10,16,55,59,60,18,11,15,11
g361031349022,35,14,36,39,42,40,18,21,11
g361031349023,32,27,68,100,41,38,26,11,11
g361031349031,11,33,50,50,11,18,19,7,11
g361031349041,36,41,90,45,36,11,11,11,11
g361031349042,53,11,71,73,31,57,31,11,11
g361031349043,17,13,41,55,40,27,25,17,11
g361031349044,29,69,40,128,93,24,25,26,11
g361031349061,11,11,52,102,32,43,41,11,11
g361031349062,25,27,13,78,56,58,33,19,11
g361031349063,11,32,68,98,44,11,11,11,11
g361031349064,11,11,11,63,90,77,21,11,11
g361031349071,65,63,26,42,73,42,35,11,11
g361031349072,11,18,43,92,82,36,12,12,11
g361031350021,39,30,63,57,32,11,11,53,11
g361031350022,23,29,55,83,52,62,77,19,11
g361031350023,11,31,59,76,11,17,19,11,11
g361031350031,12,48,16,66,33,28,12,43,11
g361031350032,36,31,51,36,50,13,51,52,11
g361031350033,33,45,70,51,43,25,25,17,11
g361031350041,37,8,24,41,44,23,24,24,11
g361031350042,31,6,8,8,22,17,23,17,11
g361031350043,26,4,19,27,20,17,11,10,4
g361031350051,11,11,37,39,23,49,58,52,39
g361031350052,12,11,36,16,87,67,45,16,11
g361031350053,43,23,11,27,61,18,32,11,11
g361031351011,11,30,23,65,11,14,20,11,11
g361031351012,11,58,94,77,48,11,11,15,11
g361031351021,11,11,54,58,19,11,11,11,11
g361031351022,11,36,74,85,35,26,21,14,11
g361031351023,11,11,33,68,30,35,42,11,11
g361031351031,15,11,57,69,32,14,43,19,11
g361031351032,10,11,11,29,50,64,43,17,11
g361031351033,11,10,73,71,66,57,11,11,11
g361031351041,11,11,38,58,32,17,11,24,11
g361031351042,44,56,30,91,54,60,54,51,11
g361031351043,13,11,29,45,55,28,26,18,11
g361031352011,6,19,49,47,11,11,11,9,11
g361031352041,11,30,28,56,30,89,12,22,11
g361031352042,11,31,70,93,67,22,71,19,11
g361031352043,11,14,50,33,50,38,19,11,11
g361031352051,11,43,81,107,47,42,18,11,11
g361031352052,11,11,55,66,45,11,11,11,11
g361031352053,16,11,38,56,10,11,11,16,11
g361031352081,34,11,38,71,44,48,22,24,11
g361031352082,38,13,36,62,62,26,11,11,11
g361031352091,11,11,77,92,55,29,43,11,11
g361031352092,37,11,33,73,47,11,11,11,11
g361031353011,14,68,60,51,51,11,16,11,16
g361031353012,11,11,32,61,19,22,10,11,11
g361031353013,11,17,11,35,11,42,18,64,11
g361031353031,54,27,73,91,55,37,20,44,26
g361031353032,58,45,54,61,27,15,15,11,11
g361031353041,13,23,76,89,58,51,29,11,11
g361031353042,38,11,16,18,21,47,35,8,11
g361031354011,11,25,11,11,86,11,114,64,11
g361031354012,33,57,57,59,105,42,117,11,11
g361031354013,53,45,82,96,106,18,17,154,11
g361031354021,33,17,76,91,90,31,79,81,11
g361031354022,11,11,28,81,105,77,13,103,11
