GEOID,B03002_001E,B03002_003E,B03002_004E,B03002_012E,B03002_006E
g361031457022,1822,442,137,1243,0
g361031457023,3319,470,107,2559,162
g361031457031,1088,165,73,724,78
g361031457032,2719,525,263,1862,69
g361031457033,2086,291,384,1158,122
g361031457041,2180,423,267,1415,56
g361031457042,942,194,316,190,225
g361031457043,3246,579,682,1741,151
g361031457044,1068,191,448,141,252
g361031458031,1419,1192,0,66,161
g361031458032,1644,1418,23,155,48
g361031458033,1764,1616,0,148,0
g361031458041,1870,639,479,638,108
g361031458042,1476,865,42,201,236
g361031458051,895,738,0,75,68
g361031458052,1396,1239,0,124,0
g361031458053,1843,1835,4,4,0
g361031458054,1722,1350,48,204,120
g361031458071,2114,1720,72,273,48
g361031458072,2311,2014,18,254,25
g361031458081,2004,1760,79,103,38
g361031458082,1305,1066,0,162,33
g361031459011,1661,527,242,892,0
g361031459012,2262,898,374,842,52
g361031459021,2517,183,1275,950,0
g361031459022,1590,517,157,761,0
g361031459023,1690,312,266,854,63
g361031459024,2676,98,554,1813,19
g361031459031,1569,847,136,508,65
g361031459032,1503,1101,180,155,39
g361031459033,1291,514,357,413,7
g361031459034,1721,787,276,571,81
g361031460011,3273,361,965,1924,0
g361031460012,2659,345,313,1995,0
g361031460021,1942,322,280,1271,44
g361031460022,1345,51,331,856,107
g361031460023,2688,22,118,2267,195
g361031460031,2151,553,122,1424,33
g361031460032,1825,113,520,1027,74
g361031460033,2684,947,823,852,28
g361031460034,1762,771,210,260,513
g361031461021,2274,568,354,1135,69
g361031461031,1345,1277,0,55,0
g361031461032,2475,1812,14,440,195
g361031461051,1114,212,352,473,0
g361031461052,3112,528,414,2104,50
g361031461053,2242,551,285,1339,0
g361031461061,2613,574,272,1566,121
g361031461062,1512,223,343,922,24
g361031462011,2573,373,160,1961,0
g361031462012,2174,280,351,1525,10
g361031462021,2731,23,1149,1524,0
g361031462022,2799,150,767,1846,0
g361031462031,2167,353,298,1457,59
g361031462032,1153,144,479,466,31
g361031462033,2434,359,343,1678,0
g361031462041,2352,411,813,1121,7
g361031462042,2932,414,386,2067,65
g361031462043,1090,40,125,925,0
g361031462051,868,611,51,196,0
g361031462052,1291,1215,0,63,0
g361031462061,1034,205,264,551,14
g361031462062,1713,1376,11,203,95
g361031463001,1156,673,310,105,9
g361031463002,1237,794,155,113,84
g361031464021,2112,1802,6,272,8
g361031464022,1079,1019,9,51,0
g361031464023,942,633,1,125,183
g361031464031,2122,240,677,1111,76
g361031464032,1384,146,598,640,0
g361031464033,1715,151,286,1187,82
g361031464041,2001,402,374,1200,5
g361031464042,2005,716,328,960,1
g361031465001,1288,1190,0,64,18
g361031465002,993,883,0,110,0
g361031465003,1427,989,24,299,82
g361031465004,1424,1203,41,160,10
g361031466041,1425,780,177,100,317
g361031466042,1767,1532,0,165,70
g361031466043,1224,1054,0,82,88
g361031466051,972,651,0,234,6
g361031466061,1646,1605,0,41,0
g361031466062,1965,1872,0,87,6
g361031466063,1693,1564,0,129,0
g361031466064,2427,2003,0,424,0
g361031466071,1104,916,20,134,13
g361031466072,1440,1145,38,122,135
g361031466081,1725,1388,17,202,72
g361031466082,980,954,0,13,13
g361031466111,1912,1565,0,214,83
g361031466112,1450,1305,11,134,0
g361031466121,1081,887,0,150,33
g361031466122,2339,2089,11,231,1
g361031466123,1908,1655,0,185,54
g361031466131,1268,1085,0,183,0
g361031466132,2749,2253,21,428,47
g361031466141,2307,1953,35,180,76
g361031466142,1196,1093,0,43,8
g361031466143,2374,1779,0,571,24
g361031466151,1429,1099,51,107,129
g361031466152,1746,1614,51,62,7
g361031466153,1728,1057,58,371,211
g361031467031,2101,958,371,651,33
g361031467032,1657,945,82,599,13
g361031467041,1823,1598,0,137,83
g361031467051,1769,1542,2,225,0
g361031467052,1800,1650,0,150,0
g361031467061,1100,838,37,158,11
g361031467062,1532,1388,0,112,10
g361031468001,2176,1937,0,153,86
g361031468002,2204,2146,0,23,0
g361031468003,995,985,0,0,0
g361031468004,540,540,0,0,0
g361031469011,2132,1888,0,148,96
g361031469012,1563,1255,0,288,0
g361031469013,820,774,0,46,0
g361031469014,871,777,0,60,0
g361031469021,1718,1674,0,32,12
g361031469022,1375,1340,5,30,0
g361031469023,821,699,0,11,111
g361031470011,964,947,0,17,0
g361031470012,758,735,0,0,23
g361031470013,2584,2383,0,185,16
g361031470031,2030,1436,36,424,64
g361031470032,1680,1141,69,407,47
g361031470033,861,768,3,56,28
g361031470041,243,221,6,11,5
g361031471001,1172,1007,12,34,97
g361031471002,913,816,6,70,13
g361031471003,1032,892,0,134,6
g361031472001,2840,722,555,1417,146
g361031472002,540,277,33,230,0
g361031472003,1407,743,200,412,0
g361031472004,903,571,161,139,17
g361031472005,674,376,93,205,0
g361031473001,1382,351,77,954,0
g361031473002,536,419,51,65,0
g361031473003,1340,526,375,323,116
g361031473004,1666,110,1135,358,0
g361031473005,1299,179,295,807,0
g361031473006,1790,1442,51,295,0
g361031474011,2042,1823,26,65,29
g361031474012,1226,983,35,167,18
g361031474013,2002,1069,486,408,0
g361031474014,688,493,116,52,27
g361031474021,1213,1161,0,52,0
g361031474022,1206,1112,0,43,51
g361031474023,1126,1035,0,71,10
g361031475011,872,768,0,104,0
g361031475012,2170,2019,0,151,0
g361031475013,606,365,0,241,0
g361031475014,709,671,0,38,0
g361031475015,1753,1701,1,51,0
g361031475016,1321,1091,66,164,0
g361031475021,1157,1035,6,41,17
g361031475022,1232,1232,0,0,0
g361031475023,1680,1496,0,133,13
g361031475024,1649,1599,0,50,0
g361031475025,840,700,0,63,40
g361031475031,1636,1521,1,44,70
g361031476011,1240,967,25,210,16
g361031476012,1159,1058,0,70,7
g361031476021,1503,1382,60,11,50
g361031476022,1787,1652,0,119,16
g361031476023,802,586,3,15,198
g361031476024,1060,958,6,96,0
g361031477011,2226,2023,23,80,49
g361031477012,1228,1111,0,67,38
g361031477021,1586,1425,0,73,40
g361031477022,850,721,0,38,36
g361031477023,1518,1389,0,125,4
g361031477024,731,709,0,11,0
g361031478021,894,790,0,104,0
g361031478022,1404,1282,1,106,0
g361031478023,1361,1264,0,97,0
g361031478031,1892,1747,0,145,0
g361031478032,1229,1035,38,82,27
g361031478041,2410,2334,0,22,27
g361031478042,1085,980,0,87,6
g361031478043,1554,1463,6,60,25
g361031478044,1028,1018,7,3,0
g361031479011,1990,1779,0,130,15
g361031479012,834,763,12,51,0
g361031479013,1361,1137,58,99,39
g361031479021,681,639,0,0,34
g361031479022,1076,1024,0,52,0
g361031479023,1432,1232,7,161,32
g361031479024,981,961,0,9,0
g361031580011,919,773,0,26,114
g361031580012,958,799,0,36,83
g361031580013,752,707,0,19,26
g361031580014,982,825,0,71,40
g361031580015,642,381,28,69,30
g361031580021,1174,915,0,105,52
g361031580022,803,595,3,148,57
g361031580023,1482,1306,71,0,100
g361031580024,858,763,0,67,28
