GEOID,B03002_003M,B03002_004M,B03002_012M,B03002_006M
g361031352052,234,11,113,44
g361031352053,223,11,46,53
g361031352081,234,11,21,8
g361031352082,259,16,74,22
g361031352091,269,53,33,49
g361031352092,223,7,180,11
g361031353011,244,11,49,11
g361031353012,309,78,43,3
g361031353013,272,24,11,127
g361031353031,508,117,173,129
g361031353032,310,11,84,76
g361031353041,219,48,106,27
g361031353042,97,11,11,20
g361031354011,286,11,158,184
g361031354012,498,30,40,61
g361031354013,615,266,34,385
g361031354021,442,11,300,138
g361031354022,519,12,162,110
g361031354023,264,25,24,11
g361031354024,324,11,11,11
g361031354031,271,155,35,68
g361031354032,332,41,98,14
g361031354033,245,6,168,74
g361031456021,90,224,406,81
g361031456022,112,318,365,66
g361031456023,178,152,486,11
g361031456031,120,204,774,266
g361031456032,28,197,406,30
g361031456033,131,157,628,15
g361031456041,161,99,656,108
g361031456042,109,124,584,11
g361031456051,128,73,267,92
g361031456052,140,317,319,58
g361031457011,193,19,89,54
g361031457012,310,11,215,56
g361031457013,236,87,216,143
g361031457014,346,45,190,41
g361031457021,41,23,540,11
g361031457022,213,162,465,11
g361031457023,309,94,750,191
g361031457031,110,81,392,127
g361031457032,257,186,701,57
g361031457033,176,250,588,138
g361031457041,275,287,691,168
g361031457042,141,237,125,296
g361031457043,341,639,899,124
g361031457044,129,270,138,255
g361031458031,324,11,80,158
g361031458032,364,37,114,60
g361031458033,388,11,122,11
g361031458041,166,97,150,106
g361031458042,172,41,115,174
g361031458051,214,11,71,96
g361031458052,313,11,125,11
g361031458053,359,5,5,11
g361031458054,374,80,130,78
g361031458071,269,92,148,53
g361031458072,303,29,201,37
g361031458081,307,154,93,37
g361031458082,232,11,113,77
g361031459011,178,119,656,11
g361031459012,221,337,234,47
g361031459021,204,509,609,11
g361031459022,213,149,592,11
g361031459023,153,227,402,100
g361031459024,80,352,907,31
g361031459031,255,156,449,99
g361031459032,300,223,124,53
g361031459033,213,307,247,11
g361031459034,265,247,353,99
g361031460011,153,391,624,11
g361031460012,192,298,504,11
g361031460021,132,185,546,60
g361031460022,88,260,426,121
g361031460023,30,102,717,96
g361031460031,257,87,752,52
g361031460032,109,302,868,115
g361031460033,289,362,727,48
g361031460034,251,155,221,580
