GEOID,B25004_001E,B25004_006E
g361031231011,0,0
g361031231012,24,0
g361031231013,45,0
g361031231021,28,0
g361031231022,30,0
g361031231023,0,0
g361031232011,68,0
g361031232021,53,0
g361031232022,59,0
g361031232023,29,0
g361031232024,42,0
g361031233011,34,0
g361031233012,38,0
g361031233013,38,0
g361031233014,30,0
g361031233015,41,0
g361031233016,32,0
g361031233021,110,0
g361031234011,53,0
g361031234012,28,0
g361031234013,0,0
g361031234021,0,0
g361031234022,16,0
g361031234023,17,0
g361031234024,0,0
g361031234025,48,0
g361031235001,66,0
g361031235002,81,0
g361031235003,142,0
g361031235004,26,0
g361031236001,129,0
g361031236002,8,0
g361031236003,35,0
g361031237011,46,0
g361031237012,0,0
g361031237013,17,0
g361031237014,0,0
g361031237021,0,0
g361031237022,58,0
g361031237023,14,0
g361031237024,14,0
g361031238011,58,0
g361031238012,26,0
g361031238013,160,8
g361031238021,29,0
g361031238022,0,0
g361031239001,10,0
g361031239002,39,9
g361031239003,0,0
g361031239004,37,0
g361031239005,37,0
g361031240011,52,0
g361031240012,35,0
g361031240013,56,0
g361031240021,34,0
g361031240022,0,0
g361031241011,61,0
g361031241012,0,0
g361031241013,24,0
g361031241021,123,0
g361031241022,89,0
g361031242001,0,0
g361031242002,96,0
g361031242003,45,0
g361031242004,0,0
g361031242005,129,0
g361031243001,0,0
g361031243002,0,0
g361031243003,0,0
g361031243004,0,0
g361031243005,46,0
g361031244011,57,0
g361031244012,60,0
g361031244013,8,0
g361031244021,0,0
g361031244022,40,0
g361031244023,113,85
g361031245001,0,0
g361031245002,0,0
g361031245003,0,0
g361031245004,0,0
g361031246011,20,0
g361031246012,7,0
g361031246013,22,0
g361031246021,0,0
g361031246022,60,0
g361031246023,66,0
g361031246024,0,0
g361031347021,46,46
g361031347022,0,0
g361031347023,63,48
g361031347024,0,0
g361031347031,10,10
g361031347032,8,0
g361031347033,0,0
g361031347034,0,0
g361031347041,14,14
g361031347042,80,22
g361031349021,28,0
g361031349022,0,0
g361031349023,42,8
g361031349031,0,0
g361031349041,0,0
g361031349042,12,0
g361031349043,48,0
g361031349044,42,0
g361031349061,40,0
g361031349062,0,0
g361031349063,0,0
g361031349064,4,0
g361031349071,0,0
g361031349072,0,0
g361031350021,0,0
g361031350022,10,10
g361031350023,0,0
g361031350031,15,0
g361031350032,22,0
g361031350033,40,0
g361031350041,78,11
g361031350042,21,18
g361031350043,17,13
g361031350051,74,0
g361031350052,24,17
g361031350053,21,0
g361031351011,0,0
g361031351012,0,0
g361031351021,0,0
g361031351022,18,0
g361031351023,0,0
g361031351031,0,0
g361031351032,0,0
g361031351033,23,0
g361031351041,0,0
g361031351042,31,0
g361031351043,0,0
g361031352011,17,0
g361031352041,0,0
g361031352042,20,0
g361031352043,0,0
g361031352051,0,0
g361031352052,0,0
g361031352053,0,0
g361031352081,44,0
g361031352082,0,0
g361031352091,60,24
g361031352092,0,0
g361031353011,23,0
g361031353012,0,0
g361031353013,0,0
g361031353031,8,0
g361031353032,0,0
g361031353041,68,0
g361031353042,0,0
g361031354011,54,0
g361031354012,59,13
g361031354013,32,15
g361031354021,0,0
g361031354022,0,0
g361031354023,0,0
g361031354024,12,0
g361031354031,0,0
g361031354032,10,0
g361031354033,60,0
g361031456021,0,0
g361031456022,70,0
g361031456023,0,0
g361031456031,98,43
g361031456032,15,0
