GEOID,B25004_006M
g361031231022,11
g361031231023,11
g361031232011,11
g361031232021,11
g361031232022,11
g361031232023,11
g361031232024,11
g361031233011,11
g361031233012,11
g361031233013,11
g361031233014,11
g361031233015,11
g361031233016,11
g361031233021,11
g361031234011,11
g361031234012,11
g361031234013,11
g361031234021,11
g361031234022,11
g361031234023,11
g361031234024,11
g361031234025,11
g361031235001,11
g361031235002,11
g361031235003,11
g361031235004,11
g361031236001,11
g361031236002,11
g361031236003,11
g361031237011,11
g361031237012,11
g361031237013,11
g361031237014,11
g361031237021,11
g361031237022,11
g361031237023,11
g361031237024,11
g361031238011,11
g361031238012,11
g361031238013,14
g361031238021,11
g361031238022,11
g361031239001,11
g361031239002,14
g361031239003,11
g361031239004,11
g361031239005,11
g361031240011,11
g361031240012,11
g361031240013,11
g361031240021,11
g361031240022,11
g361031241011,11
g361031241012,11
g361031241013,11
g361031241021,11
g361031241022,11
g361031242001,11
g361031242002,11
g361031242003,11
g361031242004,11
g361031242005,11
g361031243001,11
g361031243002,11
g361031243003,11
g361031243004,11
g361031243005,11
g361031244011,11
g361031244012,11
g361031244013,11
g361031244021,11
g361031244022,11
g361031244023,77
g361031245001,11
g361031245002,11
g361031245003,11
g361031245004,11
g361031246011,11
g361031246012,11
g361031246013,11
g361031246021,11
g361031246022,11
g361031246023,11
g361031246024,11
g361031347021,71
g361031347022,11
g361031347023,77
g361031347024,11
g361031347031,15
g361031347032,11
g361031347033,11
g361031347034,11
g361031347041,21
g361031347042,25
g361031349021,11
g361031349022,11
g361031349023,13
g361031349031,11
g361031349041,11
g361031349042,11
g361031349043,11
g361031349044,11
g361031349061,11
g361031349062,11
g361031349063,11
g361031349064,11
g361031349071,11
g361031349072,11
g361031350021,11
g361031350022,17
g361031350023,11
g361031350031,11
g361031350032,11
g361031350033,11
g361031350041,10
g361031350042,18
g361031350043,15
g361031350051,11
g361031350052,27
g361031350053,11
g361031351011,11
g361031351012,11
g361031351021,11
g361031351022,11
g361031351023,11
g361031351031,11
g361031351032,11
g361031351033,11
g361031351041,11
g361031351042,11
g361031351043,11
g361031352011,11
g361031352041,11
g361031352042,11
g361031352043,11
g361031352051,11
g361031352052,11
g361031352053,11
g361031352081,11
g361031352082,11
g361031352091,34
g361031352092,11
g361031353011,11
g361031353012,11
g361031353013,11
g361031353031,11
g361031353032,11
g361031353041,11
g361031353042,11
g361031354011,11
g361031354012,24
g361031354013,24
g361031354021,11
g361031354022,11
g361031354023,11
g361031354024,11
g361031354031,11
g361031354032,11
g361031354033,11
g361031456021,11
g361031456022,11
g361031456023,11
g361031456031,57
g361031456032,11
g361031456033,11
g361031456041,11
g361031456042,11
g361031456051,11
g361031456052,7
g361031457011,11
g361031457012,11
g361031457013,11
g361031457014,41
g361031457021,11
g361031457022,11
g361031457023,11
g361031457031,42
g361031457032,11
g361031457033,12
g361031457041,11
g361031457042,11
g361031457043,11
g361031457044,11
g361031458031,11
g361031458032,11
g361031458033,11
g361031458041,11
g361031458042,11
g361031458051,11
g361031458052,11
g361031458053,11
g361031458054,11
g361031458071,11
g361031458072,11
g361031458081,37
g361031458082,11
g361031459011,11
g361031459012,11
g361031459021,11
g361031459022,11
g361031459023,11
g361031459024,11
g361031459031,11
g361031459032,11
g361031459033,11
g361031459034,11
g361031460011,11
g361031460012,11
g361031460021,11
g361031460022,11
g361031460023,11
g361031460031,11
g361031460032,11
g361031460033,26
g361031460034,11
g361031461021,11
g361031461031,11
g361031461032,11
g361031461051,11
g361031461052,11
g361031461053,11
g361031461061,11
g361031461062,11
g361031462011,11
g361031462012,11
g361031462021,11
g361031462022,11
g361031462031,11
g361031462032,11
g361031462033,24
g361031462041,11
g361031462042,11
g361031462043,11
g361031462051,16
g361031462052,11
g361031462061,11
g361031462062,11
g361031463001,11
g361031463002,11
g361031464021,11
g361031464022,11
g361031464023,11
g361031464031,25
g361031464032,11
g361031464033,11
g361031464041,11
g361031464042,11
g361031465001,11
g361031465002,11
g361031465003,11
g361031465004,11
g361031466041,11
g361031466042,11
g361031466043,38
g361031466051,11
g361031466061,11
g361031466062,11
g361031466063,11
g361031466064,11
g361031466071,11
g361031466072,11
g361031466081,11
g361031466082,11
g361031466111,11
g361031466112,11
g361031466121,11
g361031466122,11
g361031466123,11
g361031466131,11
g361031466132,11
g361031466141,75
g361031466142,11
g361031466143,11
g361031466151,11
g361031466152,11
g361031466153,11
g361031467031,11
g361031467032,11
g361031467041,11
g361031467051,11
g361031467052,11
g361031467061,11
g361031467062,11
g361031468001,11
g361031468002,11
g361031468003,11
g361031468004,11
g361031469011,11
g361031469012,11
g361031469013,11
g361031469014,11
g361031469021,11
g361031469022,39
g361031469023,13
g361031470011,11
g361031470012,11
g361031470013,11
g361031470031,11
g361031470032,11
g361031470033,11
g361031470041,78
g361031471001,8
g361031471002,11
g361031471003,11
g361031472001,11
g361031472002,11
g361031472003,11
g361031472004,11
g361031472005,11
g361031473001,11
g361031473002,11
g361031473003,11
g361031473004,11
g361031473005,11
g361031473006,11
g361031474011,11
g361031474012,11
g361031474013,11
g361031474014,11
g361031474021,11
g361031474022,11
g361031474023,11
g361031475011,11
g361031475012,11
g361031475013,11
g361031475014,11
g361031475015,11
g361031475016,58
g361031475021,11
g361031475022,11
g361031475023,11
g361031475024,11
g361031475025,11
g361031475031,11
g361031476011,11
g361031476012,26
g361031476021,56
g361031476022,45
g361031476023,11
g361031476024,11
g361031477011,11
g361031477012,11
g361031477021,11
g361031477022,87
g361031477023,11
g361031477024,38
g361031478021,11
g361031478022,11
g361031478023,11
g361031478031,11
g361031478032,11
g361031478041,11
g361031478042,11
g361031478043,11
g361031478044,11
g361031479011,11
g361031479012,11
g361031479013,11
g361031479021,11
g361031479022,12
g361031479023,11
g361031479024,11
g361031580011,12
g361031580012,13
g361031580013,11
g361031580014,41
g361031580015,11
g361031580021,11
g361031580022,70
g361031580023,11
g361031580024,21
g361031580025,11
g361031580026,27
g361031580061,11
g361031580062,11
g361031580063,11
g361031580064,11
g361031580071,11
g361031580072,11
g361031580073,11
g361031580074,11
g361031580091,11
g361031580092,11
g361031580101,11
g361031580102,11
g361031580103,11
g361031580111,45
g361031580112,11
g361031580113,69
g361031581021,11
g361031581022,11
g361031581031,11
g361031581032,11
g361031581041,11
g361031581042,11
g361031581043,11
g361031581071,11
g361031581072,11
g361031581081,11
g361031581101,11
g361031581102,11
g361031581111,11
g361031581112,11
g361031581121,11
g361031581122,44
g361031581141,80
g361031581151,11
g361031581152,11
g361031581153,11
g361031581161,21
g361031581162,22
g361031582021,17
g361031582022,11
g361031582023,19
g361031582024,11
g361031582025,11
g361031582031,10
g361031582051,11
g361031582052,11
g361031582061,11
g361031582062,11
g361031582063,11
g361031582071,17
g361031582072,11
g361031582073,11
g361031582074,11
g361031583041,11
g361031583042,11
g361031583043,11
g361031583044,11
g361031583061,11
g361031583062,11
g361031583063,11
g361031583081,11
g361031583082,11
g361031583083,11
g361031583084,72
g361031583091,11
g361031583092,11
g361031583101,41
g361031583102,11
g361031583151,11
g361031583152,11
g361031583171,94
g361031583172,122
g361031583173,11
g361031583181,11
g361031583182,11
g361031583183,10
g361031583191,11
g361031583192,11
g361031583193,11
g361031583201,11
g361031583202,57
g361031583203,90
g361031583204,11
g361031583211,74
g361031583212,11
g361031583213,76
g361031583214,71
g361031583221,11
g361031583231,11
g361031583232,44
g361031583233,11
g361031583234,11
g361031584011,11
g361031584021,11
g361031584022,20
g361031584023,11
g361031584031,11
g361031584032,11
g361031584051,51
g361031584052,11
g361031584053,11
g361031584071,80
g361031584072,19
g361031584073,56
g361031584074,11
g361031584081,52
g361031584082,50
g361031584091,11
g361031584092,24
g361031584093,11
g361031584101,11
g361031584102,100
g361031584103,11
g361031585021,11
g361031585022,11
g361031585023,11
g361031585051,11
g361031585052,11
g361031585053,11
g361031585061,26
g361031585062,11
g361031585071,11
g361031585072,11
g361031585073,11
g361031585081,11
g361031585082,11
g361031585083,11
g361031585084,18
g361031585085,11
g361031585091,11
g361031585092,43
g361031585093,11
g361031585101,11
g361031585102,11
g361031585103,11
g361031585104,11
g361031585111,11
g361031585112,11
g361031585113,11
g361031585121,11
g361031585122,50
g361031586041,11
g361031586042,11
g361031586043,39
g361031586051,11
g361031586052,11
g361031586061,11
g361031586062,11
g361031586063,28
g361031586071,11
g361031586072,11
g361031586081,11
g361031586082,11
g361031586083,11
g361031586091,11
g361031586092,11
g361031586093,11
g361031587041,11
g361031587042,11
g361031587043,11
g361031587044,11
g361031587045,11
g361031587051,11
g361031587052,11
g361031587053,11
g361031587071,29
g361031587081,11
g361031587082,11
g361031587083,11
g361031587091,40
g361031587101,11
g361031587102,11
g361031587103,11
g361031587104,55
g361031587111,11
g361031587112,11
g361031587113,11
g361031587121,11
g361031587122,11
g361031587123,11
g361031587124,11
g361031587125,11
g361031588021,11
g361031588022,11
g361031588023,11
g361031588031,11
g361031588032,11
g361031588033,11
g361031588034,11
g361031588041,11
g361031588042,11
g361031588043,11
g361031588044,11
g361031588045,11
g361031588046,11
g361031589001,11
g361031589002,11
g361031589003,11
g361031589004,11
g361031589005,11
g361031590001,11
g361031590002,11
g361031590003,11
g361031591021,11
g361031591022,11
g361031591023,11
g361031591024,11
g361031591025,11
g361031591031,11
g361031591032,11
g361031591033,11
g361031591034,11
g361031591051,11
g361031591052,11
g361031591053,11
g361031591054,11
g361031591061,11
g361031591062,11
g361031591063,11
g361031591071,11
g361031591072,11
g361031591073,11
g361031591081,11
g361031591082,11
g361031591083,11
g361031591084,11
g361031591085,11
g361031592011,11
g361031592012,11
g361031592031,11
g361031592032,21
g361031592033,11
g361031592041,11
g361031592042,11
g361031592043,41
g361031592044,30
g361031593001,50
g361031593002,30
g361031594041,11
g361031594042,11
g361031594043,11
g361031594044,11
g361031594045,11
g361031594061,16
g361031594062,13
g361031594063,32
g361031594071,11
g361031594072,11
g361031594073,11
g361031594081,45
g361031594082,11
g361031594101,11
g361031594102,11
g361031594103,23
g361031594111,11
g361031594112,11
