GEOID,C17002_001M,C17002_002M,C17002_003M,C17002_004M,C17002_005M,C17002_006M,C17002_007M,C17002_008M
g361031472004,261,11,11,11,49,247,11,214
g361031472005,279,25,99,70,173,23,11,190
g361031473001,536,28,38,27,11,73,174,574
g361031473002,330,11,51,18,11,112,11,297
g361031473003,433,67,11,88,40,240,11,403
g361031473004,599,31,11,344,11,60,59,618
g361031473005,587,30,526,74,22,165,11,202
g361031473006,431,289,50,30,20,204,11,286
g361031474011,435,69,25,46,62,43,258,406
g361031474012,269,149,31,24,73,11,98,248
g361031474013,481,8,54,25,33,11,93,477
g361031474014,242,23,11,11,26,21,11,245
g361031474021,153,11,11,11,99,16,11,163
g361031474022,199,4,11,11,11,11,11,201
g361031474023,165,16,11,16,11,26,11,166
g361031475011,365,11,22,11,99,11,11,355
g361031475012,531,11,176,24,11,198,2,557
g361031475013,307,30,11,90,11,11,44,300
g361031475014,367,11,11,11,11,11,11,367
g361031475015,603,2,365,11,11,23,11,479
g361031475016,344,54,23,98,125,34,11,338
g361031475021,230,11,14,11,16,11,16,232
g361031475022,281,11,43,14,25,11,11,290
g361031475023,321,81,11,82,29,85,11,299
g361031475024,447,82,42,4,4,24,348,429
g361031475025,243,11,18,11,132,11,52,242
g361031475031,226,22,53,33,25,61,11,236
g361031476011,225,9,17,11,18,7,7,228
g361031476012,200,25,11,26,31,46,11,200
g361031476021,385,11,24,60,51,45,11,389
g361031476022,340,11,76,104,11,89,11,367
g361031476023,322,19,33,11,19,20,283,242
g361031476024,338,19,76,52,235,26,11,219
g361031477011,215,2,75,136,44,33,116,251
g361031477012,187,33,50,15,21,48,4,189
g361031477021,280,19,25,83,11,11,36,291
g361031477022,228,11,12,11,19,69,11,199
g361031477023,345,11,23,146,95,22,11,355
g361031477024,227,18,5,5,11,37,11,214
g361031478021,222,29,16,18,61,11,11,207
g361031478022,277,12,14,11,129,11,17,274
g361031478023,219,12,11,43,11,13,32,216
g361031478031,175,28,21,16,94,64,26,196
g361031478032,194,83,28,60,11,60,11,192
g361031478041,324,11,15,16,31,48,11,329
g361031478042,246,167,11,11,11,80,11,199
