GEOID,B11001_003M,B11001_004M,B11001_009M,B11001_008M
g361031471002,36,28,35,16
g361031471003,44,17,11,24
g361031472001,144,118,11,98
g361031472002,48,73,24,103
g361031472003,96,98,11,85
g361031472004,68,38,29,32
g361031472005,32,69,41,116
g361031473001,100,119,33,47
g361031473002,11,94,11,69
g361031473003,82,70,40,80
g361031473004,119,116,32,25
g361031473005,122,130,41,134
g361031473006,100,99,76,95
g361031474011,117,33,73,107
g361031474012,101,64,19,107
g361031474013,106,64,62,56
g361031474014,55,43,68,91
g361031474021,50,28,15,29
g361031474022,55,47,20,64
g361031474023,56,28,16,53
g361031475011,90,47,19,59
g361031475012,128,26,33,64
g361031475013,44,56,38,35
g361031475014,82,48,22,43
g361031475015,122,117,20,57
g361031475016,98,37,18,89
g361031475021,61,44,27,15
g361031475022,81,42,14,46
g361031475023,75,47,80,39
g361031475024,76,71,11,18
g361031475025,66,49,11,20
g361031475031,59,38,19,47
g361031476011,59,40,15,32
g361031476012,59,29,11,41
g361031476021,104,66,26,84
g361031476022,97,38,11,48
g361031476023,60,49,11,70
g361031476024,80,47,26,26
g361031477011,62,59,53,39
g361031477012,71,43,36,56
g361031477021,82,42,11,43
g361031477022,48,13,48,48
g361031477023,86,61,17,39
g361031477024,55,19,14,37
g361031478021,53,50,19,36
g361031478022,75,17,11,39
g361031478023,65,27,38,64
g361031478031,65,47,19,81
g361031478032,49,34,11,42
g361031478041,87,64,11,57
g361031478042,83,22,18,25
g361031478043,68,42,23,32
g361031478044,71,21,11,36
g361031479011,85,54,22,46
g361031479012,45,29,32,90
g361031479013,89,72,30,70
g361031479021,55,33,11,23
g361031479022,84,40,14,18
g361031479023,84,27,11,34
g361031479024,66,34,11,36
g361031580011,54,11,4,23
g361031580012,40,15,13,32
g361031580013,50,17,21,32
g361031580014,63,12,11,40
g361031580015,44,23,6,13
g361031580021,76,11,40,33
g361031580022,54,25,11,88
g361031580023,134,32,33,24
g361031580024,81,55,87,39
g361031580025,64,32,11,47
g361031580026,88,36,11,52
g361031580061,122,81,11,105
g361031580062,109,20,66,65
g361031580063,86,32,34,76
g361031580064,75,25,11,23
g361031580071,11,11,11,11
g361031580072,16,17,6,11
g361031580073,11,11,11,13
g361031580074,11,11,11,11
g361031580091,51,17,11,25
g361031580092,56,19,8,31
g361031580101,78,25,11,52
g361031580102,67,43,11,11
g361031580103,50,27,11,32
g361031580111,97,46,19,56
g361031580112,63,41,11,36
g361031580113,59,49,55,91
g361031581021,107,70,14,89
g361031581022,105,88,42,22
g361031581031,97,105,72,41
g361031581032,73,75,20,55
g361031581041,97,50,44,38
g361031581042,78,81,20,45
g361031581043,99,67,10,55
g361031581071,65,34,14,73
g361031581072,81,76,26,54
g361031581081,55,54,11,49
g361031581101,70,70,22,18
g361031581102,68,62,30,45
g361031581111,63,37,13,41
g361031581112,56,57,17,29
g361031581121,97,70,30,21
g361031581122,91,65,19,69
g361031581141,87,69,28,52
g361031581151,112,94,11,120
g361031581152,91,92,36,54
g361031581153,124,99,24,22
g361031581161,61,51,9,38
g361031581162,40,16,17,31
g361031582021,94,100,16,65
g361031582022,166,79,105,93
g361031582023,112,45,73,39
g361031582024,85,41,53,61
g361031582025,127,35,11,81
g361031582031,49,37,18,32
g361031582051,38,39,16,19
g361031582052,44,33,14,32
g361031582061,54,24,82,61
g361031582062,76,33,50,56
g361031582063,87,15,52,50
g361031582071,46,6,5,16
g361031582072,93,32,13,50
g361031582073,28,25,49,49
g361031582074,80,42,11,58
g361031583041,96,92,83,103
g361031583042,117,79,11,25
g361031583043,127,102,11,97
g361031583044,109,88,34,97
g361031583061,112,69,21,83
g361031583062,91,41,11,119
g361031583063,97,39,16,58
g361031583081,96,41,28,94
g361031583082,129,80,36,95
g361031583083,123,92,59,74
g361031583084,141,52,11,66
g361031583091,142,119,34,91
g361031583092,119,63,58,64
g361031583101,82,41,39,56
g361031583102,95,74,49,90
g361031583151,114,72,51,68
g361031583152,98,73,36,46
g361031583171,151,94,42,82
g361031583172,130,64,61,52
g361031583173,120,61,11,45
g361031583181,69,87,64,58
g361031583182,64,25,11,60
g361031583183,94,31,13,38
g361031583191,74,55,58,72
g361031583192,67,44,11,60
g361031583193,75,11,19,35
g361031583201,97,34,35,40
g361031583202,109,30,32,71
g361031583203,94,51,97,130
g361031583204,103,25,27,40
g361031583211,177,87,100,116
g361031583212,99,77,29,78
g361031583213,101,70,27,33
g361031583214,197,136,84,139
g361031583221,61,34,11,37
g361031583231,93,99,26,20
g361031583232,102,51,11,27
g361031583233,113,67,11,18
g361031583234,122,71,11,103
g361031584011,47,31,7,35
g361031584021,73,36,34,32
g361031584022,37,6,3,13
g361031584023,67,36,37,47
g361031584031,68,31,9,46
g361031584032,52,24,36,48
g361031584051,91,42,63,60
g361031584052,64,14,14,15
g361031584053,82,12,45,30
g361031584071,95,79,11,58
g361031584072,109,107,25,47
g361031584073,90,81,11,78
g361031584074,132,50,29,43
g361031584081,101,72,21,84
g361031584082,81,65,40,73
g361031584091,70,105,47,64
g361031584092,106,62,9,69
g361031584093,83,28,20,11
g361031584101,99,43,19,74
g361031584102,83,18,46,114
g361031584103,57,11,11,131
g361031585021,74,62,32,59
g361031585022,65,8,11,55
g361031585023,77,31,13,99
g361031585051,76,55,13,28
g361031585052,68,21,11,36
g361031585053,51,51,32,69
g361031585061,59,28,11,55
g361031585062,40,49,8,36
g361031585071,54,22,21,59
g361031585072,63,44,14,45
g361031585073,96,72,11,53
g361031585081,82,11,11,30
g361031585082,94,94,11,18
g361031585083,88,25,11,24
g361031585084,61,36,11,59
g361031585085,77,8,11,12
